PersonKey,DatasetId,RecordKey
76,A,A-000000063
76,B,B-000000063
77,A,A-000000064
77,B,B-000000064
79,A,A-000000065
79,B,B-000000065
80,A,A-000000066
80,B,B-000000066
81,A,A-000000067
81,B,B-000000067
83,A,A-000000068
83,B,B-000000068
85,A,A-000000069
85,B,B-000000069
86,A,A-000000070
86,B,B-000000070
87,A,A-000000071
87,B,B-000000071
90,A,A-000000072
90,B,B-000000072
91,A,A-000000073
91,B,B-000000073
92,A,A-000000074
92,B,B-000000074
93,A,A-000000075
93,B,B-000000075
94,A,A-000000076
94,B,B-000000076
95,A,A-000000077
95,B,B-000000077
96,A,A-000000078
96,B,B-000000078
97,A,A-000000079
97,B,B-000000079
98,A,A-000000080
98,B,B-000000080
99,A,A-000000081
99,B,B-000000081
100,A,A-000000082
100,B,B-000000082
101,A,A-000000083
101,B,B-000000083
102,A,A-000000084
102,B,B-000000084
103,A,A-000000085
103,B,B-000000085
104,A,A-000000086
104,B,B-000000086
105,A,A-000000087
105,B,B-000000087
106,A,A-000000088
106,B,B-000000088
107,A,A-000000089
107,B,B-000000089
108,A,A-000000090
108,B,B-000000090
109,A,A-000000091
109,B,B-000000091
111,A,A-000000092
111,B,B-000000092
112,A,A-000000093
112,B,B-000000093
113,A,A-000000094
113,B,B-000000094
114,A,A-000000095
114,B,B-000000095
115,A,A-000000096
115,B,B-000000096
116,A,A-000000097
116,B,B-000000097
118,A,A-000000098
118,B,B-000000098
120,A,A-000000099
120,B,B-000000099
122,A,A-000000100
122,B,B-000000100
123,A,A-000000101
123,B,B-000000101
125,A,A-000000102
125,B,B-000000102
126,A,A-000000103
126,B,B-000000103
128,A,A-000000104
128,B,B-000000104
129,A,A-000000105
129,B,B-000000105
131,A,A-000000106
131,B,B-000000106
133,A,A-000000107
133,B,B-000000107
134,A,A-000000108
134,B,B-000000108
135,A,A-000000109
135,B,B-000000109
136,A,A-000000110
136,B,B-000000110
137,A,A-000000111
137,B,B-000000111
138,A,A-000000112
138,B,B-000000112
139,A,A-000000113
139,B,B-000000113
140,A,A-000000114
140,B,B-000000114
141,A,A-000000115
141,B,B-000000115
142,A,A-000000116
142,B,B-000000116
143,A,A-000000117
143,B,B-000000117
144,A,A-000000118
144,B,B-000000118
145,A,A-000000119
145,B,B-000000119
146,A,A-000000120
146,B,B-000000120
147,A,A-000000121
147,B,B-000000121
148,A,A-000000122
148,B,B-000000122
149,A,A-000000123
149,B,B-000000123
150,A,A-000000124
150,B,B-000000124
151,A,A-000000125
151,B,B-000000125
152,A,A-000000126
152,B,B-000000126
153,A,A-000000127
153,B,B-000000127
154,A,A-000000128
154,B,B-000000128
155,A,A-000000129
155,B,B-000000129
156,A,A-000000130
156,B,B-000000130
157,A,A-000000131
157,B,B-000000131
158,A,A-000000132
158,B,B-000000132
159,A,A-000000133
159,B,B-000000133
160,A,A-000000134
160,B,B-000000134
161,A,A-000000135
161,B,B-000000135
162,A,A-000000136
162,B,B-000000136
163,A,A-000000137
163,B,B-000000137
164,A,A-000000138
164,B,B-000000138
165,A,A-000000139
165,B,B-000000139
166,A,A-000000140
166,B,B-000000140
167,A,A-000000141
167,B,B-000000141
168,A,A-000000142
168,B,B-000000142
169,A,A-000000143
169,B,B-000000143
170,A,A-000000144
170,B,B-000000144
171,A,A-000000145
171,B,B-000000145
173,A,A-000000146
173,B,B-000000146
175,A,A-000000147
175,B,B-000000147
176,A,A-000000148
176,B,B-000000148
178,A,A-000000149
178,B,B-000000149
179,A,A-000000150
179,B,B-000000150
180,A,A-000000151
180,B,B-000000151
181,A,A-000000152
181,B,B-000000152
182,A,A-000000153
182,B,B-000000153
183,A,A-000000154
183,B,B-000000154
185,A,A-000000155
185,B,B-000000155
187,A,A-000000156
187,B,B-000000156
188,A,A-000000157
188,B,B-000000157
189,A,A-000000158
189,B,B-000000158
190,A,A-000000159
190,B,B-000000159
191,A,A-000000160
191,B,B-000000160
192,A,A-000000161
192,B,B-000000161
193,A,A-000000162
193,B,B-000000162
194,A,A-000000163
194,B,B-000000163
195,A,A-000000164
195,B,B-000000164
196,A,A-000000165
196,B,B-000000165
198,A,A-000000166
198,B,B-000000166
199,A,A-000000167
199,B,B-000000167
200,A,A-000000168
200,B,B-000000168
203,A,A-000000169
203,B,B-000000169
204,A,A-000000170
204,B,B-000000170
205,A,A-000000171
205,B,B-000000171
207,A,A-000000172
207,B,B-000000172
208,A,A-000000173
208,B,B-000000173
212,A,A-000000174
212,B,B-000000174
213,A,A-000000175
213,B,B-000000175
214,A,A-000000176
214,B,B-000000176
215,A,A-000000177
215,B,B-000000177
216,A,A-000000178
216,B,B-000000178
217,A,A-000000179
217,B,B-000000179
218,A,A-000000180
218,B,B-000000180
219,A,A-000000181
219,B,B-000000181
220,A,A-000000182
220,B,B-000000182
221,A,A-000000183
221,B,B-000000183
222,A,A-000000184
222,B,B-000000184
223,A,A-000000185
223,B,B-000000185
224,A,A-000000186
224,B,B-000000186
225,A,A-000000187
225,B,B-000000187
227,A,A-000000188
227,B,B-000000188
228,A,A-000000189
228,B,B-000000189
229,A,A-000000190
229,B,B-000000190
230,A,A-000000191
230,B,B-000000191
231,A,A-000000192
231,B,B-000000192
232,A,A-000000193
232,B,B-000000193
233,A,A-000000194
233,B,B-000000194
236,A,A-000000195
236,B,B-000000195
237,A,A-000000196
237,B,B-000000196
238,A,A-000000197
238,B,B-000000197
239,A,A-000000198
239,B,B-000000198
240,A,A-000000199
240,B,B-000000199
241,A,A-000000200
241,B,B-000000200
242,A,A-000000201
242,B,B-000000201
243,A,A-000000202
243,B,B-000000202
244,A,A-000000203
244,B,B-000000203
246,A,A-000000204
246,B,B-000000204
247,A,A-000000205
247,B,B-000000205
251,A,A-000000206
251,B,B-000000206
252,A,A-000000207
252,B,B-000000207
253,A,A-000000208
253,B,B-000000208
254,A,A-000000209
254,B,B-000000209
255,A,A-000000210
255,B,B-000000210
256,A,A-000000211
256,B,B-000000211
257,A,A-000000212
257,B,B-000000212
258,A,A-000000213
258,B,B-000000213
259,A,A-000000214
259,B,B-000000214
262,A,A-000000215
262,B,B-000000215
264,A,A-000000216
264,B,B-000000216
265,A,A-000000217
265,B,B-000000217
266,A,A-000000218
266,B,B-000000218
268,A,A-000000219
268,B,B-000000219
269,A,A-000000220
269,B,B-000000220
271,A,A-000000221
271,B,B-000000221
272,A,A-000000222
272,B,B-000000222
273,A,A-000000223
273,B,B-000000223
274,A,A-000000224
274,B,B-000000224
276,A,A-000000225
276,B,B-000000225
278,A,A-000000226
278,B,B-000000226
279,A,A-000000227
279,B,B-000000227
280,A,A-000000228
280,B,B-000000228
281,A,A-000000229
281,B,B-000000229
282,A,A-000000230
282,B,B-000000230
283,A,A-000000231
283,B,B-000000231
284,A,A-000000232
284,B,B-000000232
285,A,A-000000233
285,B,B-000000233
287,A,A-000000234
287,B,B-000000234
288,A,A-000000235
288,B,B-000000235
289,A,A-000000236
289,B,B-000000236
291,A,A-000000237
291,B,B-000000237
292,A,A-000000238
292,B,B-000000238
294,A,A-000000239
294,B,B-000000239
295,A,A-000000240
295,B,B-000000240
296,A,A-000000241
296,B,B-000000241
297,A,A-000000242
297,B,B-000000242
299,A,A-000000243
299,B,B-000000243
300,A,A-000000244
300,B,B-000000244
301,A,A-000000245
301,B,B-000000245
302,A,A-000000246
302,B,B-000000246
308,A,A-000000247
308,B,B-000000247
309,A,A-000000248
309,B,B-000000248
310,A,A-000000249
310,B,B-000000249
311,A,A-000000250
311,B,B-000000250
314,A,A-000000251
314,B,B-000000251
315,A,A-000000252
315,B,B-000000252
317,A,A-000000253
317,B,B-000000253
319,A,A-000000254
319,B,B-000000254
322,A,A-000000255
322,B,B-000000255
323,A,A-000000256
323,B,B-000000256
324,A,A-000000257
324,B,B-000000257
326,A,A-000000258
326,B,B-000000258
327,A,A-000000259
327,B,B-000000259
329,A,A-000000260
329,B,B-000000260
330,A,A-000000261
330,B,B-000000261
332,A,A-000000262
332,B,B-000000262
333,A,A-000000263
333,B,B-000000263
334,A,A-000000264
334,B,B-000000264
335,A,A-000000265
335,B,B-000000265
337,A,A-000000266
337,B,B-000000266
338,A,A-000000267
338,B,B-000000267
339,A,A-000000268
339,B,B-000000268
340,A,A-000000269
340,B,B-000000269
341,A,A-000000270
341,B,B-000000270
343,A,A-000000271
343,B,B-000000271
344,A,A-000000272
344,B,B-000000272
345,A,A-000000273
345,B,B-000000273
346,A,A-000000274
346,B,B-000000274
347,A,A-000000275
347,B,B-000000275
348,A,A-000000276
348,B,B-000000276
349,A,A-000000277
349,B,B-000000277
350,A,A-000000278
350,B,B-000000278
351,A,A-000000279
351,B,B-000000279
353,A,A-000000280
353,B,B-000000280
354,A,A-000000281
354,B,B-000000281
355,A,A-000000282
355,B,B-000000282
356,A,A-000000283
356,B,B-000000283
357,A,A-000000284
357,B,B-000000284
358,A,A-000000285
358,B,B-000000285
360,A,A-000000286
360,B,B-000000286
361,A,A-000000287
361,B,B-000000287
362,A,A-000000288
362,B,B-000000288
363,A,A-000000289
363,B,B-000000289
365,A,A-000000290
365,B,B-000000290
366,A,A-000000291
366,B,B-000000291
369,A,A-000000292
369,B,B-000000292
370,A,A-000000293
370,B,B-000000293
371,A,A-000000294
371,B,B-000000294
372,A,A-000000295
372,B,B-000000295
373,A,A-000000296
373,B,B-000000296
374,A,A-000000297
374,B,B-000000297
375,A,A-000000298
375,B,B-000000298
376,A,A-000000299
376,B,B-000000299
377,A,A-000000300
377,B,B-000000300
378,A,A-000000301
378,B,B-000000301
380,A,A-000000302
380,B,B-000000302
381,A,A-000000303
381,B,B-000000303
382,A,A-000000304
382,B,B-000000304
383,A,A-000000305
383,B,B-000000305
384,A,A-000000306
384,B,B-000000306
385,A,A-000000307
385,B,B-000000307
386,A,A-000000308
386,B,B-000000308
387,A,A-000000309
387,B,B-000000309
388,A,A-000000310
388,B,B-000000310
389,A,A-000000311
389,B,B-000000311
390,A,A-000000312
390,B,B-000000312
391,A,A-000000313
391,B,B-000000313
393,A,A-000000314
393,B,B-000000314
394,A,A-000000315
394,B,B-000000315
395,A,A-000000316
395,B,B-000000316
396,A,A-000000317
396,B,B-000000317
397,A,A-000000318
397,B,B-000000318
398,A,A-000000319
398,B,B-000000319
399,A,A-000000320
399,B,B-000000320
400,A,A-000000321
400,B,B-000000321
401,A,A-000000322
401,B,B-000000322
402,A,A-000000323
402,B,B-000000323
403,A,A-000000324
403,B,B-000000324
404,A,A-000000325
404,B,B-000000325
405,A,A-000000326
405,B,B-000000326
406,A,A-000000327
406,B,B-000000327
407,A,A-000000328
407,B,B-000000328
408,A,A-000000329
408,B,B-000000329
409,A,A-000000330
409,B,B-000000330
410,A,A-000000331
410,B,B-000000331
411,A,A-000000332
411,B,B-000000332
412,A,A-000000333
412,B,B-000000333
413,A,A-000000334
413,B,B-000000334
414,A,A-000000335
414,B,B-000000335
415,A,A-000000336
415,B,B-000000336
416,A,A-000000337
416,B,B-000000337
417,A,A-000000338
417,B,B-000000338
418,A,A-000000339
418,B,B-000000339
419,A,A-000000340
419,B,B-000000340
421,A,A-000000341
421,B,B-000000341
422,A,A-000000342
422,B,B-000000342
424,A,A-000000343
424,B,B-000000343
425,A,A-000000344
425,B,B-000000344
426,A,A-000000345
426,B,B-000000345
427,A,A-000000346
427,B,B-000000346
428,A,A-000000347
428,B,B-000000347
429,A,A-000000348
429,B,B-000000348
430,A,A-000000349
430,B,B-000000349
432,A,A-000000350
432,B,B-000000350
434,A,A-000000351
434,B,B-000000351
435,A,A-000000352
435,B,B-000000352
436,A,A-000000353
436,B,B-000000353
439,A,A-000000354
439,B,B-000000354
440,A,A-000000355
440,B,B-000000355
441,A,A-000000356
441,B,B-000000356
442,A,A-000000357
442,B,B-000000357
443,A,A-000000358
443,B,B-000000358
444,A,A-000000359
444,B,B-000000359
445,A,A-000000360
445,B,B-000000360
449,A,A-000000361
449,B,B-000000361
450,A,A-000000362
450,B,B-000000362
451,A,A-000000363
451,B,B-000000363
453,A,A-000000364
453,B,B-000000364
454,A,A-000000365
454,B,B-000000365
455,A,A-000000366
455,B,B-000000366
456,A,A-000000367
456,B,B-000000367
457,A,A-000000368
457,B,B-000000368
458,A,A-000000369
458,B,B-000000369
459,A,A-000000370
459,B,B-000000370
460,A,A-000000371
460,B,B-000000371
461,A,A-000000372
461,B,B-000000372
462,A,A-000000373
462,B,B-000000373
463,A,A-000000374
463,B,B-000000374
464,A,A-000000375
464,B,B-000000375
465,A,A-000000376
465,B,B-000000376
466,A,A-000000377
466,B,B-000000377
467,A,A-000000378
467,B,B-000000378
468,A,A-000000379
468,B,B-000000379
469,A,A-000000380
469,B,B-000000380
470,A,A-000000381
470,B,B-000000381
471,A,A-000000382
471,B,B-000000382
473,A,A-000000383
473,B,B-000000383
474,A,A-000000384
474,B,B-000000384
475,A,A-000000385
475,B,B-000000385
476,A,A-000000386
476,B,B-000000386
477,A,A-000000387
477,B,B-000000387
478,A,A-000000388
478,B,B-000000388
479,A,A-000000389
479,B,B-000000389
480,A,A-000000390
480,B,B-000000390
481,A,A-000000391
481,B,B-000000391
482,A,A-000000392
482,B,B-000000392
483,A,A-000000393
483,B,B-000000393
486,A,A-000000394
486,B,B-000000394
487,A,A-000000395
487,B,B-000000395
488,A,A-000000396
488,B,B-000000396
489,A,A-000000397
489,B,B-000000397
490,A,A-000000398
490,B,B-000000398
491,A,A-000000399
491,B,B-000000399
492,A,A-000000400
492,B,B-000000400
493,A,A-000000401
493,B,B-000000401
494,A,A-000000402
494,B,B-000000402
495,A,A-000000403
495,B,B-000000403
496,A,A-000000404
496,B,B-000000404
497,A,A-000000405
497,B,B-000000405
498,A,A-000000406
498,B,B-000000406
499,A,A-000000407
499,B,B-000000407
500,A,A-000000408
500,B,B-000000408
501,A,A-000000409
501,B,B-000000409
502,A,A-000000410
502,B,B-000000410
503,A,A-000000411
503,B,B-000000411
504,A,A-000000412
504,B,B-000000412
505,A,A-000000413
505,B,B-000000413
506,A,A-000000414
506,B,B-000000414
507,A,A-000000415
507,B,B-000000415
508,A,A-000000416
508,B,B-000000416
509,A,A-000000417
509,B,B-000000417
510,A,A-000000418
510,B,B-000000418
511,A,A-000000419
511,B,B-000000419
512,A,A-000000420
512,B,B-000000420
513,A,A-000000421
513,B,B-000000421
514,A,A-000000422
514,B,B-000000422
515,A,A-000000423
515,B,B-000000423
516,A,A-000000424
516,B,B-000000424
517,A,A-000000425
517,B,B-000000425
518,A,A-000000426
518,B,B-000000426
519,A,A-000000427
519,B,B-000000427
520,A,A-000000428
520,B,B-000000428
521,A,A-000000429
521,B,B-000000429
522,A,A-000000430
522,B,B-000000430
523,A,A-000000431
523,B,B-000000431
524,A,A-000000432
524,B,B-000000432
525,A,A-000000433
525,B,B-000000433
526,A,A-000000434
526,B,B-000000434
527,A,A-000000435
527,B,B-000000435
528,A,A-000000436
528,B,B-000000436
529,A,A-000000437
529,B,B-000000437
530,A,A-000000438
530,B,B-000000438
532,A,A-000000439
532,B,B-000000439
533,A,A-000000440
533,B,B-000000440
534,A,A-000000441
534,B,B-000000441
535,A,A-000000442
535,B,B-000000442
536,A,A-000000443
536,B,B-000000443
537,A,A-000000444
537,B,B-000000444
538,A,A-000000445
538,B,B-000000445
539,A,A-000000446
539,B,B-000000446
542,A,A-000000447
542,B,B-000000447
543,A,A-000000448
543,B,B-000000448
544,A,A-000000449
544,B,B-000000449
545,A,A-000000450
545,B,B-000000450
546,A,A-000000451
546,B,B-000000451
547,A,A-000000452
547,B,B-000000452
548,A,A-000000453
548,B,B-000000453
552,A,A-000000454
552,B,B-000000454
554,A,A-000000455
554,B,B-000000455
556,A,A-000000456
556,B,B-000000456
557,A,A-000000457
557,B,B-000000457
558,A,A-000000458
558,B,B-000000458
559,A,A-000000459
559,B,B-000000459
560,A,A-000000460
560,B,B-000000460
561,A,A-000000461
561,B,B-000000461
562,A,A-000000462
562,B,B-000000462
563,A,A-000000463
563,B,B-000000463
564,A,A-000000464
564,B,B-000000464
566,A,A-000000465
566,B,B-000000465
567,A,A-000000466
567,B,B-000000466
568,A,A-000000467
568,B,B-000000467
569,A,A-000000468
569,B,B-000000468
572,A,A-000000469
572,B,B-000000469
573,A,A-000000470
573,B,B-000000470
574,A,A-000000471
574,B,B-000000471
577,A,A-000000472
577,B,B-000000472
580,A,A-000000473
580,B,B-000000473
581,A,A-000000474
581,B,B-000000474
582,A,A-000000475
582,B,B-000000475
583,A,A-000000476
583,B,B-000000476
584,A,A-000000477
584,B,B-000000477
585,A,A-000000478
585,B,B-000000478
588,A,A-000000479
588,B,B-000000479
589,A,A-000000480
589,B,B-000000480
590,A,A-000000481
590,B,B-000000481
591,A,A-000000482
591,B,B-000000482
592,A,A-000000483
592,B,B-000000483
593,A,A-000000484
593,B,B-000000484
595,A,A-000000485
595,B,B-000000485
596,A,A-000000486
596,B,B-000000486
598,A,A-000000487
598,B,B-000000487
599,A,A-000000488
599,B,B-000000488
600,A,A-000000489
600,B,B-000000489
601,A,A-000000490
601,B,B-000000490
602,A,A-000000491
602,B,B-000000491
603,A,A-000000492
603,B,B-000000492
604,A,A-000000493
604,B,B-000000493
605,A,A-000000494
605,B,B-000000494
608,A,A-000000495
608,B,B-000000495
609,A,A-000000496
609,B,B-000000496
610,A,A-000000497
610,B,B-000000497
611,A,A-000000498
611,B,B-000000498
612,A,A-000000499
612,B,B-000000499
613,A,A-000000500
613,B,B-000000500
615,A,A-000000501
615,B,B-000000501
616,A,A-000000502
616,B,B-000000502
617,A,A-000000503
617,B,B-000000503
618,A,A-000000504
618,B,B-000000504
619,A,A-000000505
619,B,B-000000505
622,A,A-000000506
622,B,B-000000506
623,A,A-000000507
623,B,B-000000507
625,A,A-000000508
625,B,B-000000508
627,A,A-000000509
627,B,B-000000509
628,A,A-000000510
628,B,B-000000510
629,A,A-000000511
629,B,B-000000511
631,A,A-000000512
631,B,B-000000512
633,A,A-000000513
633,B,B-000000513
634,A,A-000000514
634,B,B-000000514
636,A,A-000000515
636,B,B-000000515
638,A,A-000000516
638,B,B-000000516
639,A,A-000000517
639,B,B-000000517
640,A,A-000000518
640,B,B-000000518
641,A,A-000000519
641,B,B-000000519
642,A,A-000000520
642,B,B-000000520
643,A,A-000000521
643,B,B-000000521
644,A,A-000000522
644,B,B-000000522
645,A,A-000000523
645,B,B-000000523
646,A,A-000000524
646,B,B-000000524
647,A,A-000000525
647,B,B-000000525
648,A,A-000000526
648,B,B-000000526
649,A,A-000000527
649,B,B-000000527
650,A,A-000000528
650,B,B-000000528
651,A,A-000000529
651,B,B-000000529
653,A,A-000000530
653,B,B-000000530
654,A,A-000000531
654,B,B-000000531
655,A,A-000000532
655,B,B-000000532
657,A,A-000000533
657,B,B-000000533
658,A,A-000000534
658,B,B-000000534
660,A,A-000000535
660,B,B-000000535
661,A,A-000000536
661,B,B-000000536
662,A,A-000000537
662,B,B-000000537
663,A,A-000000538
663,B,B-000000538
664,A,A-000000539
664,B,B-000000539
665,A,A-000000540
665,B,B-000000540
667,A,A-000000541
667,B,B-000000541
669,A,A-000000542
669,B,B-000000542
670,A,A-000000543
670,B,B-000000543
672,A,A-000000544
672,B,B-000000544
673,A,A-000000545
673,B,B-000000545
674,A,A-000000546
674,B,B-000000546
677,A,A-000000547
677,B,B-000000547
678,A,A-000000548
678,B,B-000000548
679,A,A-000000549
679,B,B-000000549
680,A,A-000000550
680,B,B-000000550
681,A,A-000000551
681,B,B-000000551
682,A,A-000000552
682,B,B-000000552
683,A,A-000000553
683,B,B-000000553
684,A,A-000000554
684,B,B-000000554
685,A,A-000000555
685,B,B-000000555
687,A,A-000000556
687,B,B-000000556
689,A,A-000000557
689,B,B-000000557
690,A,A-000000558
690,B,B-000000558
691,A,A-000000559
691,B,B-000000559
692,A,A-000000560
692,B,B-000000560
693,A,A-000000561
693,B,B-000000561
694,A,A-000000562
694,B,B-000000562
695,A,A-000000563
695,B,B-000000563
696,A,A-000000564
696,B,B-000000564
697,A,A-000000565
697,B,B-000000565
699,A,A-000000566
699,B,B-000000566
700,A,A-000000567
700,B,B-000000567
701,A,A-000000568
701,B,B-000000568
702,A,A-000000569
702,B,B-000000569
703,A,A-000000570
703,B,B-000000570
704,A,A-000000571
704,B,B-000000571
705,A,A-000000572
705,B,B-000000572
706,A,A-000000573
706,B,B-000000573
707,A,A-000000574
707,B,B-000000574
709,A,A-000000575
709,B,B-000000575
710,A,A-000000576
710,B,B-000000576
711,A,A-000000577
711,B,B-000000577
712,A,A-000000578
712,B,B-000000578
713,A,A-000000579
713,B,B-000000579
714,A,A-000000580
714,B,B-000000580
715,A,A-000000581
715,B,B-000000581
716,A,A-000000582
716,B,B-000000582
717,A,A-000000583
717,B,B-000000583
718,A,A-000000584
718,B,B-000000584
719,A,A-000000585
719,B,B-000000585
720,A,A-000000586
720,B,B-000000586
721,A,A-000000587
721,B,B-000000587
722,A,A-000000588
722,B,B-000000588
724,A,A-000000589
724,B,B-000000589
726,A,A-000000590
726,B,B-000000590
727,A,A-000000591
727,B,B-000000591
728,A,A-000000592
728,B,B-000000592
729,A,A-000000593
729,B,B-000000593
730,A,A-000000594
730,B,B-000000594
731,A,A-000000595
731,B,B-000000595
732,A,A-000000596
732,B,B-000000596
734,A,A-000000597
734,B,B-000000597
735,A,A-000000598
735,B,B-000000598
736,A,A-000000599
736,B,B-000000599
737,A,A-000000600
737,B,B-000000600
738,A,A-000000601
738,B,B-000000601
739,A,A-000000602
739,B,B-000000602
740,A,A-000000603
740,B,B-000000603
741,A,A-000000604
741,B,B-000000604
742,A,A-000000605
742,B,B-000000605
743,A,A-000000606
743,B,B-000000606
744,A,A-000000607
744,B,B-000000607
745,A,A-000000608
745,B,B-000000608
746,A,A-000000609
746,B,B-000000609
748,A,A-000000610
748,B,B-000000610
749,A,A-000000611
749,B,B-000000611
750,A,A-000000612
750,B,B-000000612
751,A,A-000000613
751,B,B-000000613
752,A,A-000000614
752,B,B-000000614
753,A,A-000000615
753,B,B-000000615
754,A,A-000000616
754,B,B-000000616
755,A,A-000000617
755,B,B-000000617
757,A,A-000000618
757,B,B-000000618
758,A,A-000000619
758,B,B-000000619
759,A,A-000000620
759,B,B-000000620
761,A,A-000000621
761,B,B-000000621
762,A,A-000000622
762,B,B-000000622
764,A,A-000000623
764,B,B-000000623
765,A,A-000000624
765,B,B-000000624
766,A,A-000000625
766,B,B-000000625
767,A,A-000000626
767,B,B-000000626
768,A,A-000000627
768,B,B-000000627
769,A,A-000000628
769,B,B-000000628
770,A,A-000000629
770,B,B-000000629
771,A,A-000000630
771,B,B-000000630
772,A,A-000000631
772,B,B-000000631
773,A,A-000000632
773,B,B-000000632
774,A,A-000000633
774,B,B-000000633
776,A,A-000000634
776,B,B-000000634
777,A,A-000000635
777,B,B-000000635
778,A,A-000000636
778,B,B-000000636
779,A,A-000000637
779,B,B-000000637
780,A,A-000000638
780,B,B-000000638
781,A,A-000000639
781,B,B-000000639
782,A,A-000000640
782,B,B-000000640
783,A,A-000000641
783,B,B-000000641
785,A,A-000000642
785,B,B-000000642
786,A,A-000000643
786,B,B-000000643
787,A,A-000000644
787,B,B-000000644
788,A,A-000000645
788,B,B-000000645
789,A,A-000000646
789,B,B-000000646
790,A,A-000000647
790,B,B-000000647
791,A,A-000000648
791,B,B-000000648
792,A,A-000000649
792,B,B-000000649
793,A,A-000000650
793,B,B-000000650
794,A,A-000000651
794,B,B-000000651
795,A,A-000000652
795,B,B-000000652
797,A,A-000000653
797,B,B-000000653
799,A,A-000000654
799,B,B-000000654
800,A,A-000000655
800,B,B-000000655
802,A,A-000000656
802,B,B-000000656
804,A,A-000000657
804,B,B-000000657
805,A,A-000000658
805,B,B-000000658
810,A,A-000000659
810,B,B-000000659
811,A,A-000000660
811,B,B-000000660
812,A,A-000000661
812,B,B-000000661
813,A,A-000000662
813,B,B-000000662
814,A,A-000000663
814,B,B-000000663
815,A,A-000000664
815,B,B-000000664
819,A,A-000000665
819,B,B-000000665
820,A,A-000000666
820,B,B-000000666
821,A,A-000000667
821,B,B-000000667
822,A,A-000000668
822,B,B-000000668
823,A,A-000000669
823,B,B-000000669
824,A,A-000000670
824,B,B-000000670
826,A,A-000000671
826,B,B-000000671
827,A,A-000000672
827,B,B-000000672
828,A,A-000000673
828,B,B-000000673
829,A,A-000000674
829,B,B-000000674
831,A,A-000000675
831,B,B-000000675
832,A,A-000000676
832,B,B-000000676
833,A,A-000000677
833,B,B-000000677
834,A,A-000000678
834,B,B-000000678
836,A,A-000000679
836,B,B-000000679
837,A,A-000000680
837,B,B-000000680
839,A,A-000000681
839,B,B-000000681
840,A,A-000000682
840,B,B-000000682
841,A,A-000000683
841,B,B-000000683
843,A,A-000000684
843,B,B-000000684
844,A,A-000000685
844,B,B-000000685
846,A,A-000000686
846,B,B-000000686
847,A,A-000000687
847,B,B-000000687
848,A,A-000000688
848,B,B-000000688
849,A,A-000000689
849,B,B-000000689
850,A,A-000000690
850,B,B-000000690
851,A,A-000000691
851,B,B-000000691
852,A,A-000000692
852,B,B-000000692
853,A,A-000000693
853,B,B-000000693
854,A,A-000000694
854,B,B-000000694
855,A,A-000000695
855,B,B-000000695
858,A,A-000000696
858,B,B-000000696
859,A,A-000000697
859,B,B-000000697
860,A,A-000000698
860,B,B-000000698
