scale,seed,matcher,candidate_recall,threshold,tp,fp,fn,predicted,precision,recall,f1,scoring_recall_given_candidate
0.0,20260726,baseline,1.0,0.65,8203,11,13,8214,0.9986608229851474,0.9984177215189873,0.9985392574558734,0.9984177215189873
0.0,20260726,learned,1.0,0.6500030591266042,8215,7,1,8222,0.9991486256385308,0.9998782862706913,0.9995133227886603,0.9998782862706913
0.0,20260726,splink,1.0,0.9986013472769922,8201,44,15,8245,0.9946634323832626,0.9981742940603701,0.9964157706093191,0.9981742940603701
0.0,20260727,baseline,1.0,0.65,8206,8,15,8214,0.9990260530801072,0.9981754044520131,0.9986005476118042,0.9981754044520131
0.0,20260727,learned,1.0,0.6500030591266042,8217,2,4,8219,0.9997566613943302,0.9995134411872035,0.9996350364963504,0.9995134411872035
0.0,20260727,splink,1.0,0.9986013472769922,8206,40,15,8246,0.9951491632306573,0.9981754044520131,0.9966599866399465,0.9981754044520131
0.0,20260728,baseline,1.0,0.65,8206,10,12,8216,0.9987828627069133,0.9985397907033341,0.998661311914324,0.9985397907033341
0.0,20260728,learned,1.0,0.6500030591266042,8215,1,3,8216,0.9998782862706913,0.9996349476758335,0.9997566021662407,0.9996349476758335
0.0,20260728,splink,1.0,0.9986013472769922,8205,46,13,8251,0.9944249181917343,0.9984181065952786,0.996417511688627,0.9984181065952786
0.0,20260729,baseline,1.0,0.65,8203,10,18,8213,0.9987824181176184,0.9978104853424158,0.998296215163685,0.9978104853424158
0.0,20260729,learned,1.0,0.6500030591266042,8219,1,2,8220,0.9998783454987834,0.9997567205936018,0.9998175293473632,0.9997567205936018
0.0,20260729,splink,1.0,0.9986013472769922,8203,40,18,8243,0.995147397792066,0.9978104853424158,0.9964771622934888,0.9978104853424158
0.5,20260720,baseline,0.9991497631483056,0.65,8055,12,178,8067,0.9985124581628858,0.9783796914854852,0.9883435582822085,0.9792122538293216
0.5,20260720,learned,0.9991497631483056,0.6500030591266042,8186,4,47,8190,0.9995115995115995,0.994291266852909,0.9968945990379345,0.9951373693168004
0.5,20260720,splink,0.9991497631483056,0.9986013472769922,8053,39,180,8092,0.995180425111221,0.9781367666707154,0.9865849923430321,0.9789691222951616
0.5,20260721,baseline,0.9989057750759879,0.65,8090,6,135,8096,0.9992588932806324,0.9835866261398176,0.9913608234789536,0.9846640701071081
0.5,20260721,learned,0.9989057750759879,0.6500030591266042,8169,1,56,8170,0.9998776009791922,0.9931914893617021,0.996523330283623,0.9942794547224927
0.5,20260721,splink,0.9989057750759879,0.9986013472769922,8086,30,139,8116,0.9963035978314441,0.9831003039513678,0.9896579156722354,0.9841772151898734
0.5,20260722,baseline,0.9996358339402768,0.65,8091,11,147,8102,0.9986423105406073,0.9821558630735615,0.9903304773561811,0.9825136612021858
0.5,20260722,learned,0.9996358339402768,0.6500030591266042,8200,4,38,8204,0.999512432959532,0.9953872299101724,0.9974455662328184,0.9957498482088646
0.5,20260722,splink,0.9996358339402768,0.9986013472769922,8089,47,149,8136,0.9942232055063913,0.9819130857004127,0.9880298033467693,0.9822707953855495
0.5,20260723,baseline,0.9989069710954579,0.65,8078,9,156,8087,0.998887102757512,0.9810541656546029,0.9898903253477116,0.9821276595744681
0.5,20260723,learned,0.9989069710954579,0.6500030591266042,8189,3,45,8192,0.9996337890625,0.9945348554772893,0.9970778034822843,0.9956231003039514
0.5,20260723,splink,0.9989069710954579,0.9986013472769922,8076,32,158,8108,0.9960532807104094,0.9808112703424824,0.9883735160935014,0.9818844984802432
0.5,20260724,baseline,0.999026882374407,0.65,8093,2,128,8095,0.9997529339098209,0.984430117990512,0.9920323608727629,0.9853890174114209
0.5,20260724,learned,0.999026882374407,0.6500030591266042,8180,1,41,8181,0.9998777655543332,0.9950127721688359,0.9974393366662602,0.9959819797881407
0.5,20260724,splink,0.999026882374407,0.9986013472769922,8093,38,128,8131,0.9953265281023245,0.984430117990512,0.9898483365949118,0.9853890174114209
0.5,20260725,baseline,0.9997566909975669,0.65,8093,10,127,8103,0.998765889176848,0.9845498783454988,0.9916069349996937,0.984789486493064
0.5,20260725,learned,0.9997566909975669,0.6500030591266042,8188,3,32,8191,0.9996337443535588,0.9961070559610705,0.9978672841386874,0.9963494767583354
0.5,20260725,splink,0.9997566909975669,0.9986013472769922,8091,40,129,8131,0.9950805558971836,0.9843065693430657,0.9896642407192221,0.984546118276953
0.5,20260726,baseline,0.9987828627069133,0.65,8049,11,167,8060,0.99863523573201,0.9796738072054528,0.9890636520029491,0.9808676578113575
0.5,20260726,learned,0.9987828627069133,0.6500030591266042,8170,5,46,8175,0.999388379204893,0.9944011684518014,0.9968885363919225,0.9956129661223495
0.5,20260726,splink,0.9987828627069133,0.9986013472769922,8046,41,170,8087,0.9949301347842215,0.9793086660175268,0.9870575967613323,0.9805020716548867
0.5,20260727,baseline,0.9992701617808053,0.65,8083,7,138,8090,0.9991347342398023,0.9832137209585209,0.9911102936668507,0.9839318320146074
0.5,20260727,learned,0.9992701617808053,0.6500030591266042,8179,1,42,8180,0.999877750611247,0.9948911324656368,0.9973782086458143,0.9956177723676202
0.5,20260727,splink,0.9992701617808053,0.9986013472769922,8080,39,141,8119,0.9951964527651188,0.9828488018489235,0.9889840881272949,0.9835666463785758
0.5,20260728,baseline,0.9991482112436116,0.65,8068,9,150,8077,0.9988857248978581,0.9817473837916768,0.9902424056459037,0.9825843380830593
0.5,20260728,learned,0.9991482112436116,0.6500030591266042,8171,1,47,8172,0.9998776309348997,0.9942808469213921,0.997071384990848,0.9951284861770795
0.5,20260728,splink,0.9991482112436116,0.9986013472769922,8068,43,150,8111,0.9946985575144865,0.9817473837916768,0.9881805376936739,0.9825843380830593
0.5,20260729,baseline,0.9993918014840044,0.65,8074,8,147,8082,0.9990101460034645,0.9821189636297287,0.990492547383917,0.9827166504381695
0.5,20260729,learned,0.9993918014840044,0.6500030591266042,8188,1,33,8189,0.9998778849676395,0.9959858897944289,0.9979280926264473,0.9965920155793574
0.5,20260729,splink,0.9993918014840044,0.9986013472769922,8074,34,147,8108,0.99580661075481,0.9821189636297287,0.9889154265417356,0.9827166504381695
1.0,20260720,baseline,0.9969634398153772,0.65,7895,12,338,7907,0.9984823574048312,0.958945706303899,0.9783147459727386,0.9618664717348928
1.0,20260720,learned,0.9969634398153772,0.6500030591266042,8111,3,122,8114,0.9996302686714321,0.9851815862990404,0.9923533370037315,0.988182261208577
1.0,20260720,splink,0.9969634398153772,0.9986013472769922,7887,39,346,7926,0.9950794852384557,0.9579740070448196,0.9761742682096665,0.9608918128654971
1.0,20260721,baseline,0.9979331306990882,0.65,7909,4,316,7913,0.9994945027170479,0.961580547112462,0.9801710249101498,0.9635721247563352
1.0,20260721,learned,0.9979331306990882,0.6500030591266042,8120,1,105,8121,0.9998768624553627,0.9872340425531915,0.9935152330845466,0.9892787524366472
1.0,20260721,splink,0.9979331306990882,0.9986013472769922,7901,26,324,7927,0.9967200706446323,0.9606079027355623,0.9783308568598317,0.9625974658869396
1.0,20260722,baseline,0.9963583394027676,0.65,7918,8,320,7926,0.9989906636386576,0.9611556202961884,0.979707993071022,0.9646686159844055
1.0,20260722,learned,0.9963583394027676,0.6500030591266042,8125,3,113,8128,0.999630905511811,0.9862830784170915,0.9929121349138459,0.9898879142300195
1.0,20260722,splink,0.9963583394027676,0.9986013472769922,7905,45,333,7950,0.9943396226415094,0.9595775673707211,0.9766493699036324,0.9630847953216374
1.0,20260723,baseline,0.9975710468787953,0.65,7936,9,298,7945,0.9988672120830712,0.9638085984940491,0.9810247852154027,0.9661553445337229
1.0,20260723,learned,0.9975710468787953,0.6500030591266042,8111,3,123,8114,0.9996302686714321,0.9850619383045908,0.9922926351847321,0.9874604334063793
1.0,20260723,splink,0.9975710468787953,0.9986013472769922,7921,35,313,7956,0.9956008044243339,0.9619868836531454,0.9785052501544164,0.9643291940589238
1.0,20260724,baseline,0.9974455662328184,0.65,7915,4,306,7919,0.9994948857178937,0.962778250821068,0.9807930607187114,0.9652439024390244
1.0,20260724,learned,0.9974455662328184,0.6500030591266042,8112,1,109,8113,0.9998767410329101,0.9867412723512955,0.9932655809966939,0.9892682926829268
1.0,20260724,splink,0.9974455662328184,0.9986013472769922,7907,39,314,7946,0.9950918701233324,0.961805133195475,0.9781653986515741,0.9642682926829268
1.0,20260725,baseline,0.9972019464720194,0.65,7940,10,280,7950,0.9987421383647799,0.9659367396593674,0.9820655534941249,0.968647065999756
1.0,20260725,learned,0.9972019464720194,0.6500030591266042,8127,4,93,8131,0.9995080555897183,0.9886861313868613,0.9940676411228672,0.9914602903501281
1.0,20260725,splink,0.9972019464720194,0.9986013472769922,7930,32,290,7962,0.9959809093192665,0.9647201946472019,0.9801013471758744,0.9674271074783457
1.0,20260726,baseline,0.9972005842259006,0.65,7921,8,295,7929,0.9989910455290705,0.9640944498539435,0.9812325797460513,0.96680092762114
1.0,20260726,learned,0.9972005842259006,0.6500030591266042,8107,5,109,8112,0.9993836291913215,0.9867332035053554,0.9930181283684468,0.9895032344684487
1.0,20260726,splink,0.9972005842259006,0.9986013472769922,7918,42,298,7960,0.9947236180904523,0.9637293086660176,0.978981206726014,0.9664347613816673
1.0,20260727,baseline,0.9975672059360176,0.65,7927,7,294,7934,0.9991177211998992,0.9642379272594575,0.9813679975239863,0.9665894403121571
1.0,20260727,learned,0.9975672059360176,0.6500030591266042,8112,3,109,8115,0.999630314232902,0.9867412723512955,0.9931439764936337,0.9891476649189124
1.0,20260727,splink,0.9975672059360176,0.9986013472769922,7921,38,300,7959,0.9952255308455836,0.9635080890402627,0.9791100123609395,0.9658578222168028
1.0,20260728,baseline,0.9967145290825018,0.65,7918,9,300,7927,0.9988646398385266,0.9634947675833536,0.9808609476618149,0.9666707361738494
1.0,20260728,learned,0.9967145290825018,0.6500030591266042,8098,1,120,8099,0.9998765279664156,0.9853979070333414,0.9925844211558497,0.9886460749603223
1.0,20260728,splink,0.9967145290825018,0.9986013472769922,7908,48,310,7956,0.9939668174962293,0.9622779265027988,0.9778657103994065,0.9654498840190453
1.0,20260729,baseline,0.9975672059360176,0.65,7936,10,285,7946,0.9987415051598288,0.9653326845882496,0.9817529535473495,0.9676868674551884
1.0,20260729,learned,0.9975672059360176,0.6500030591266042,8127,1,94,8128,0.999876968503937,0.9885658678992824,0.9941892470487492,0.9909767101572979
1.0,20260729,splink,0.9975672059360176,0.9986013472769922,7930,37,291,7967,0.9953558428517635,0.9646028463690549,0.9797380775883371,0.9669552493598341
2.0,20260720,baseline,0.990161545001822,0.65,7492,8,741,7500,0.9989333333333333,0.9099963561277784,0.9523930591749824,0.9190382728164868
2.0,20260720,learned,0.990161545001822,0.6500030591266042,7882,3,351,7885,0.9996195307545973,0.9573666950078951,0.9780369772924681,0.9668792934249264
2.0,20260720,splink,0.990161545001822,0.9986013472769922,7453,33,780,7486,0.9955917713064387,0.9052593222397668,0.948279152617851,0.9142541707556427
2.0,20260721,baseline,0.9880851063829788,0.65,7522,4,703,7526,0.9994685091682168,0.9145288753799392,0.955113961018348,0.9255567860219023
2.0,20260721,learned,0.9880851063829788,0.6500030591266042,7866,1,359,7867,0.9998728867420872,0.9563525835866261,0.9776286353467561,0.9678848283499446
2.0,20260721,splink,0.9880851063829788,0.9986013472769922,7483,24,742,7507,0.9968029838817104,0.9097872340425532,0.9513094330027969,0.9207579672695951
2.0,20260722,baseline,0.9899247390143239,0.65,7543,5,695,7548,0.9993375728669847,0.9156348628307842,0.9556569111871278,0.9249540159411404
2.0,20260722,learned,0.9899247390143239,0.6500030591266042,7885,4,353,7889,0.9994929648878185,0.9571497936392328,0.9778632107645562,0.9668914776210914
2.0,20260722,splink,0.9899247390143239,0.9986013472769922,7493,45,745,7538,0.994030246749801,0.9095654285020636,0.9499239350912778,0.9188228080931944
2.0,20260723,baseline,0.9901627398591207,0.65,7519,4,715,7523,0.9994682972218529,0.9131649259169298,0.9543694865773942,0.9222372132957194
2.0,20260723,learned,0.9901627398591207,0.6500030591266042,7936,3,298,7939,0.9996221186547424,0.9638085984940491,0.9813887343102702,0.973384030418251
2.0,20260723,splink,0.9901627398591207,0.9986013472769922,7479,36,755,7515,0.9952095808383233,0.9083070196745203,0.949774588862785,0.9173310437875628
2.0,20260724,baseline,0.9916068604792604,0.65,7549,3,672,7552,0.9996027542372882,0.9182581194501885,0.9572053509161226,0.9260304219823356
2.0,20260724,learned,0.9916068604792604,0.6500030591266042,7902,0,319,7902,1.0,0.9611969346794794,0.9802146002604974,0.969332679097154
2.0,20260724,splink,0.9916068604792604,0.9986013472769922,7510,35,711,7545,0.9953611663353215,0.9135141710254226,0.952682988709882,0.9212463199214916
2.0,20260725,baseline,0.9912408759124087,0.65,7546,8,674,7554,0.9989409584326184,0.9180048661800486,0.9567642956764295,0.9261168384879725
2.0,20260725,learned,0.9912408759124087,0.6500030591266042,7895,3,325,7898,0.9996201570017726,0.9604622871046229,0.9796500806551681,0.9689494354442808
2.0,20260725,splink,0.9912408759124087,0.9986013472769922,7507,33,713,7540,0.9956233421750663,0.9132603406326034,0.9526649746192892,0.9213303878252331
2.0,20260726,baseline,0.9911148977604674,0.65,7545,8,671,7553,0.9989408182179267,0.9183300876338851,0.9569408332804871,0.9265626918825985
2.0,20260726,learned,0.9911148977604674,0.6500030591266042,7906,6,310,7912,0.9992416582406471,0.9622687439143135,0.9804067460317462,0.9708952474517991
2.0,20260726,splink,0.9911148977604674,0.9986013472769922,7501,42,715,7543,0.9944319236378099,0.9129746835443038,0.9519639571038772,0.9211592779074051
2.0,20260727,baseline,0.9900255443376719,0.65,7557,5,664,7562,0.9993387992594551,0.9192312370757816,0.9576126211746817,0.9284924437891633
2.0,20260727,learned,0.9900255443376719,0.6500030591266042,7899,2,322,7901,0.9997468674851284,0.960832015569882,0.9799032378116859,0.9705123479542941
2.0,20260727,splink,0.9900255443376719,0.9986013472769922,7523,36,698,7559,0.9952374652731842,0.9150954871670113,0.9534854245880862,0.9243150264160216
2.0,20260728,baseline,0.9907520077877829,0.65,7501,6,717,7507,0.9992007459704276,0.9127524945242151,0.9540222575516693,0.9212724146401375
2.0,20260728,learned,0.9907520077877829,0.6500030591266042,7868,1,350,7869,0.9998729190494345,0.9574105621805792,0.9781811400509729,0.9663473348071727
2.0,20260728,splink,0.9907520077877829,0.9986013472769922,7477,36,741,7513,0.9952083056036204,0.9098320759308834,0.9506070815587058,0.9183247359371162
2.0,20260729,baseline,0.9884442281960832,0.65,7545,5,676,7550,0.9993377483443708,0.9177715606373921,0.9568194787901846,0.9285011075559931
2.0,20260729,learned,0.9884442281960832,0.6500030591266042,7904,1,317,7905,0.9998734977862113,0.9614402140858777,0.9802802926950267,0.9726802855033226
2.0,20260729,splink,0.9884442281960832,0.9986013472769922,7508,34,713,7542,0.9954919119596924,0.9132708916190244,0.952610543678234,0.9239478218065469
4.0,20260720,baseline,0.9642900522288351,0.65,6558,7,1675,6565,0.998933739527799,0.7965504676302684,0.8863359913501826,0.8260486207330898
4.0,20260720,learned,0.9642900522288351,0.6500030591266042,7138,2,1095,7140,0.9997198879551821,0.8669986639135188,0.9286411240486567,0.8991056808162237
4.0,20260720,splink,0.9642900522288351,0.9986013472769922,6340,25,1893,6365,0.9960722702278083,0.7700716628203571,0.86861213864913,0.798589242977705
4.0,20260721,baseline,0.9630395136778116,0.65,6580,2,1645,6582,0.9996961409905804,0.8,0.8887688255554804,0.8307031940411564
4.0,20260721,learned,0.9630395136778116,0.6500030591266042,7151,1,1074,7152,0.9998601789709173,0.8694224924012158,0.930090394745399,0.9027900517611412
4.0,20260721,splink,0.9630395136778116,0.9986013472769922,6376,22,1849,6398,0.9965614254454517,0.7751975683890577,0.8720508787526499,0.8049488700921601
4.0,20260722,baseline,0.961034231609614,0.65,6616,4,1622,6620,0.9993957703927493,0.8031075503763049,0.8905640059227352,0.8356700770493874
4.0,20260722,learned,0.961034231609614,0.6500030591266042,7162,3,1076,7165,0.9995812979762736,0.8693857732459335,0.9299487112900084,0.9046355942907667
4.0,20260722,splink,0.961034231609614,0.9986013472769922,6422,27,1816,6449,0.9958133043882772,0.7795581451808692,0.8745148771021992,0.8111658456486043
4.0,20260723,baseline,0.9619868836531454,0.65,6572,3,1662,6575,0.9995437262357414,0.7981539956278844,0.8875683705854548,0.8296932205529605
4.0,20260723,learned,0.9619868836531454,0.6500030591266042,7089,1,1145,7090,0.9998589562764457,0.8609424338110274,0.9252153484729835,0.8949627572276228
4.0,20260723,splink,0.9619868836531454,0.9986013472769922,6370,26,1864,6396,0.9959349593495935,0.7736215691037163,0.8708133971291867,0.8041913899760131
4.0,20260724,baseline,0.9628998905242672,0.65,6584,3,1637,6587,0.9995445574616669,0.8008758058630336,0.8892490545651,0.831733198585144
4.0,20260724,learned,0.9628998905242672,0.6500030591266042,7110,0,1111,7110,1.0,0.8648582897457731,0.9275324505903072,0.8981808994441637
4.0,20260724,splink,0.9628998905242672,0.9986013472769922,6348,33,1873,6381,0.9948283968030089,0.7721688359080404,0.8694699356252568,0.8019201616978272
4.0,20260725,baseline,0.9598540145985401,0.65,6626,5,1594,6631,0.9992459659176595,0.8060827250608272,0.8923304827957713,0.8397972116603295
4.0,20260725,learned,0.9598540145985401,0.6500030591266042,7094,1,1126,7095,0.9998590556730091,0.8630170316301703,0.9264120143650018,0.8991128010139418
4.0,20260725,splink,0.9598540145985401,0.9986013472769922,6431,30,1789,6461,0.9953567559201362,0.782360097323601,0.8760983584224508,0.8150823827629912
4.0,20260726,baseline,0.9634858812074002,0.65,6629,4,1587,6633,0.9993969546208352,0.8068403115871471,0.892854737692774,0.8374178878221324
4.0,20260726,learned,0.9634858812074002,0.6500030591266042,7180,4,1036,7184,0.9994432071269488,0.873904576436222,0.9324675324675326,0.9070237493683678
4.0,20260726,splink,0.9634858812074002,0.9986013472769922,6411,34,1805,6445,0.9947245927075252,0.7803067185978578,0.8745651729077144,0.8098787266296109
4.0,20260727,baseline,0.9628998905242672,0.65,6626,2,1595,6628,0.9996982498491249,0.8059846733973969,0.8924506700787931,0.8370389085396664
4.0,20260727,learned,0.9628998905242672,0.6500030591266042,7159,2,1062,7161,0.9997207093981287,0.8708186352025301,0.9308282408009361,0.9043708943911066
4.0,20260727,splink,0.9628998905242672,0.9986013472769922,6441,29,1780,6470,0.995517774343122,0.7834813283055589,0.8768633857463753,0.8136685194542699
4.0,20260728,baseline,0.9659284497444633,0.65,6583,4,1635,6587,0.9993927432822226,0.8010464833292772,0.8892941573792639,0.8293020912068532
4.0,20260728,learned,0.9659284497444633,0.6500030591266042,7146,0,1072,7146,1.0,0.8695546361645169,0.9302265035147096,0.9002267573696145
4.0,20260728,splink,0.9659284497444633,0.9986013472769922,6370,37,1848,6407,0.9942250663336976,0.7751277683134583,0.8711111111111112,0.8024691358024691
4.0,20260729,baseline,0.9663058022138425,0.65,6643,3,1578,6646,0.9995486006620523,0.808052548351782,0.893657092890294,0.8362286002014099
4.0,20260729,learned,0.9663058022138425,0.6500030591266042,7168,1,1053,7169,0.9998605105314549,0.8719133925313223,0.9315139701104613,0.9023162134944612
4.0,20260729,splink,0.9663058022138425,0.9986013472769922,6436,32,1785,6468,0.9950525664811379,0.7828731297895634,0.8763019946899041,0.8101711983887211
