name,number
Marilyn,185130.0
Danielle,185031.0
Jane,182511.5
Elijah,182376.0
Eugene,182294.5
Diana,182229.0
Juan,179935.0
Brittany,179683.0
Harry,179568.5
Alan,179527.5
Angel,177867.5
Vincent,177414.5
Jamie,176356.0
Wayne,175105.0
Russell,174538.5
Kayla,171925.5
Ruby,170858.5
Shannon,170618.0
Lori,169719.0
Tiffany,168748.5
Liam,168082.0
Philip,167669.5
Shawn,167601.0
Cameron,166974.0
Mason,166538.0
Kathy,165555.0
Ava,165473.5
Robin,165200.5
Randy,164940.5
Tammy,164930.5
Crystal,164120.0
Howard,162710.5
Bonnie,161299.5
Victor,160945.5
Erin,160128.0
Lucas,159293.0
Lois,159232.5
Bobby,159110.5
Isaac,158716.5
Phyllis,158612.0
Caleb,158108.0
Allison,157580.0
Johnny,157324.0
Alyssa,156327.5
Luke,155808.0
Irene,155290.5
Bradley,154851.0
Eleanor,154726.0
Anne,154483.0
Phillip,153244.5
Travis,152768.5
Tracy,152314.5
Martin,151399.0
Carlos,150701.5
Audrey,149049.0
Fred,148924.0
Mia,148612.5
Ella,148245.0
Craig,148166.0
Francis,146730.5
Dale,145958.0
Stanley,145606.0
Theodore,145569.5
Cody,145478.5
Peggy,144287.5
Luis,143934.0
Annie,143874.0
Tina,143554.0
Dawn,142954.5
Josephine,142852.5
Jimmy,142792.0
Jackson,142696.0
Louise,142524.5
Alex,142190.0
Danny,141871.5
Evan,141249.0
Leonard,140550.0
Nathaniel,140128.5
Todd,139696.0
Rita,138847.5
Ernest,138327.5
Wanda,138109.0
Paula,137924.0
Joel,137630.0
Adrian,137413.5
Courtney,137071.5
Lee,136588.5
Jayden,134747.5
Norma,134497.0
Hunter,134148.5
Valerie,133985.5
Clarence,133085.5
Connie,133007.0
Earl,132092.0
Allen,131615.5
Brianna,131291.5
Morgan,130278.5
Wendy,129961.0
Vanessa,129789.5
Marjorie,129759.0
Melanie,129349.5
Antonio,128551.5
Jasmine,128151.0
Curtis,127528.5
Amelia,127429.5
Cindy,127274.5
Julian,126554.5
Aiden,126432.0
Ellen,125848.0
Ian,125817.5
Frederick,125182.5
Florence,124765.0
Monica,123741.0
Tony,123671.0
Marvin,123662.5
Hazel,123206.0
Leah,122827.5
Isaiah,122436.0
Norman,121934.0
Rodney,121893.0
Chloe,121714.0
Alexandra,120793.5
Glenn,120595.5
Jesus,120225.0
April,120081.5
Dana,119275.5
Chad,119138.5
Melvin,118632.5
Wesley,118516.0
Leo,118444.5
Marcus,118241.0
Derek,118215.5
Eva,117917.0
Sheila,117705.5
Steve,117546.5
Riley,117389.0
Edwin,117213.5
Caroline,116609.0
Jessie,116213.5
Owen,116122.0
Connor,115931.5
Sylvia,115873.5
Erica,114770.0
Jeffery,114064.0
Esther,113919.0
Marion,113666.5
Sherry,113543.5
Alicia,113494.0
Edna,113296.5
Lynn,112926.5
Alfred,111982.5
Avery,111920.5
Katie,111793.0
Carrie,111595.0
Michele,110913.0
Ricky,110528.0
Gladys,108921.5
Jeremiah,108907.5
Edith,108760.0
Kristen,108546.0
Veronica,108212.0
Suzanne,107773.5
Vivian,107731.0
Troy,106575.0
Eddie,106506.5
Calvin,106435.0
Kim,104469.5
Joanne,104182.0
Herbert,104112.0
Anita,104050.5
Dolores,103395.5
Dustin,103290.5
Lucille,103239.5
Sebastian,103170.0
Rhonda,102834.5
Jill,102696.5
Geraldine,102324.0
Lorraine,102032.5
Gail,101942.0
Carter,101735.5
Jared,101681.5
Holly,101250.0
Claire,101138.5
Thelma,100961.5
Darlene,100531.0
Pauline,100223.5
Levi,99806.5
Blake,99579.0
Lucy,99432.0
Mike,99409.5
Juanita,99330.0
June,99288.0
Wyatt,99119.5
Brooke,98047.0
Sally,97917.0
Ethel,97641.5
Randall,97436.0
Madeline,97035.0
Ray,96373.5
Oscar,96119.0
Shane,95976.5
Jay,94997.5
Charlie,94941.0
Bernard,94770.0
Corey,94591.5
Leroy,94519.5
Casey,93920.5
Dean,93574.5
Dominic,93398.0
Savannah,93176.0
Miguel,93038.0
Gavin,92798.0
Debbie,92457.5
Manuel,91899.5
Ronnie,91795.0
Eileen,91581.5
Renee,91346.5
Landon,90590.5
Chase,89832.5
Stacy,89632.5
Hailey,88986.0
Barry,88826.0
Kristin,88655.5
Clifford,88644.0
Sydney,88553.0
Sofia,87893.0
Warren,87887.5
Lily,87853.5
Regina,87824.0
Jo,87785.5
Tommy,87452.0
Tara,86705.5
Leon,85536.5
Molly,85018.0
Devin,84568.5
Cassandra,84068.0
Lydia,83276.5
Kaitlyn,82780.5
Jon,82773.0
Bernice,82689.0
Beatrice,82501.0
Loretta,81955.0
Annette,81512.5
Laurie,81482.5
Don,81025.5
Jackie,80878.5
Chris,80781.5
Nora,80758.5
Seth,80625.0
Chelsea,80485.5
Mitchell,79861.5
Max,79662.0
Colleen,79637.5
Trevor,79480.0
Lindsey,79380.0
Brett,79024.0
Haley,78733.5
Shelby,78680.5
Darrell,78186.0
Stacey,77948.0
Jerome,77885.0
Jeanette,77705.0
Beth,77494.5
Aubrey,77357.5
Erik,77349.0
Xavier,77334.5
Bill,77164.0
Addison,76766.5
Joann,76586.0
Alvin,76298.5
Zoe,76288.0
Parker,76014.5
Micheal,75634.5
Yvonne,75582.0
Carmen,75299.5
Kelsey,75189.0
Lloyd,75142.5
Rosa,75030.0
Destiny,74926.5
Gina,74908.0
Cole,74756.0
Gordon,74216.5
Mario,73839.0
Colton,73657.0
Carla,73368.5
Jenna,73019.0
Mackenzie,72307.5
Georgia,72207.5
Edgar,72171.5
Eli,72014.5
Paige,71858.5
Terri,71729.0
Derrick,71547.0
Alejandro,71452.0
Ricardo,71422.5
Ivan,71378.0
Elsie,71313.0
Faith,71095.5
Autumn,70755.5
Jim,70373.5
Josiah,70242.0
Sabrina,70021.5
Hayden,69953.5
Maureen,69931.5
Lewis,69844.0
Floyd,69688.5
Vernon,69655.5
Kaylee,69165.0
Arlene,69058.5
Sue,68799.5
Marc,68788.5
Francisco,68672.0
Bertha,68524.5
Brent,68410.0
Joy,68390.0
Johnnie,68236.5
Jorge,68120.5
Gabrielle,67721.5
Harper,67664.5
Peyton,67525.0
Franklin,67226.5
Brayden,67162.0
Kristina,67158.5
Clayton,66750.0
Constance,66638.0
Gabriella,66521.0
Katelyn,66480.5
Deanna,66002.5
Daisy,65874.5
Wilma,65835.5
Garrett,65594.5
Carson,65525.0
Clyde,65474.5
Marian,65145.0
Dakota,65030.5
Alma,64898.0
Grant,64875.0
Maurice,64756.0
Lindsay,64690.0
Colin,64570.0
Alexa,64479.5
Cory,64338.0
Tamara,64302.5
Andre,63545.0
Marlene,63254.5
Bailey,63139.5
Nolan,62973.5
Tom,62839.0
Gene,62754.5
Jimmie,62708.0
Tristan,62686.0
Billie,62662.0
Micah,62540.5
Ida,62525.5
Erika,61600.5
Sophie,61479.5
Grayson,61438.0
Everett,61377.5
Brooklyn,61222.5
Jake,61065.5
Layla,60968.5
Claudia,60938.0
Patsy,60927.5
Gilbert,60918.0
Diego,60802.5
Isabel,60759.0
Spencer,60740.0
Bryce,60397.0
Nina,60084.0
Glen,59697.0
Kylie,59662.5
Herman,59646.5
Angelina,59389.0
Lester,59282.0
Marissa,59270.5
Maya,59070.5
Tonya,58930.5
Aidan,58754.0
Preston,58457.0
Ariana,58375.0
Priscilla,58292.0
Lillie,57808.0
Cooper,57563.0
Jaime,57397.0
Harvey,56923.5
Tanya,56904.0
Alison,56857.0
Mariah,55687.5
Zoey,55532.5
Duane,55520.0
Miles,55320.0
Caitlin,55226.0
Ruben,55223.5
Jaxon,54893.5
Elmer,54607.5
Roberto,54515.5
Yolanda,54424.0
Jocelyn,54271.0
Miriam,54087.0
Milton,54028.0
Madelyn,53925.5
Chester,53895.5
Carole,53723.0
Vickie,53690.0
Eduardo,53503.5
Sam,53412.0
Aaliyah,53319.5
Reginald,53298.5
Ana,53292.5
Makayla,53277.5
Joanna,53013.0
Brandy,52458.5
Pearl,52325.5
Javier,52320.0
Hector,52108.5
Damian,51977.5
Hudson,51803.5
Bessie,51493.0
Maxwell,51083.5
Ashton,51022.5
Darren,51014.0
Asher,50989.0
Jade,50743.5
Alexandria,50591.0
Omar,50584.5
Skylar,50310.0
Cecilia,50249.5
Brandi,49992.0
Cecil,49838.0
Kara,49683.5
Bobbie,49498.5
Fernando,49472.5
Sierra,49333.0
Dan,49207.5
Katrina,49174.0
Elena,49097.5
Whitney,48879.0
Arnold,48584.0
Toni,48359.0
Isabelle,48324.0
Tanner,48260.5
Nevaeh,48227.5
Ezra,48015.5
Kendra,47978.5
Christy,47898.5
Natasha,47597.5
Johnathan,47567.5
Lincoln,47522.5
Kay,47474.5
Abraham,47440.0
Karl,47437.0
Briana,47431.0
Ellie,47411.5
Maggie,47372.0
Meghan,47323.0
Ariel,47206.0
Kennedy,47018.0
Roman,46852.5
Sidney,46839.0
Santiago,46805.0
Kendall,46629.5
Adriana,46544.5
Iris,46346.0
Mattie,46272.0
Brady,46046.5
Kerry,46018.0
Jaden,45942.5
Andres,45924.0
Hope,45745.0
Genesis,45324.0
Lonnie,45093.0
Marshall,45058.5
Angelica,45021.0
Tracey,45010.0
Minnie,44669.0
Leonardo,44624.0
Harrison,44605.0
Pedro,44493.0
Brendan,44475.5
Darryl,44431.0
Ayden,44213.5
Andy,44175.0
Karla,44126.5
Aria,43971.0
Aurora,43945.5
Summer,43903.0
Bridget,43744.5
Jenny,43552.5
Felicia,43470.0
Jace,43219.5
Devon,43196.5
Emmanuel,42814.0
Guadalupe,42694.5
Rafael,42269.5
Giovanni,42233.0
Raul,42192.0
Kaleb,42141.0
Trinity,41752.0
Gabriela,41648.5
Misty,41125.5
Shelly,40982.5
Candace,40961.0
Jillian,40718.5
Jody,40507.5
Breanna,40455.5
Dalton,40398.0
Drew,40393.5
Quinn,40372.5
Mae,40317.5
Brittney,40295.5
Payton,40281.0
Natalia,40065.5
Angelo,39883.5
Jonah,39648.0
Sergio,39393.5
Brody,39330.5
Bryson,39294.0
Sawyer,38942.0
Geneva,38887.0
Collin,38779.0
Dora,38709.0
Rachael,38682.5
Jodi,38589.5
Kayden,38527.5
Claude,38271.0
Gracie,38146.5
Freddie,38103.5
Dallas,38084.5
Tyrone,38065.5
Monique,37933.5
Cesar,37916.0
Erick,37714.5
Ross,37563.0
Easton,37537.5
Velma,37411.5
Bianca,37210.0
Felix,37113.5
Serenity,36943.5
Meredith,36922.5
Valeria,36563.0
Kelli,36446.5
Armando,36330.5
Marco,36252.5
Krystal,36193.0
Hugh,35972.5
Ivy,35948.0
Sandy,35776.5
Ben,35701.0
Ramon,35533.5
Rosie,35384.5
Liliana,35177.0
Kai,35108.0
Shelley,34997.0
Rylee,34880.0
Caden,34863.5
Camille,34859.0
Jan,34698.5
Willard,34664.5
Cheyenne,34540.5
Perry,34515.5
Dominique,34429.5
Shaun,34288.5
Cristian,34244.5
Terrence,34133.0
Kaden,33994.0
Luca,33991.0
Elise,33932.0
Reagan,33929.5
Frankie,33492.0
Eliana,33275.5
Eunice,33219.5
Weston,33166.5
Terrance,33124.0
Israel,33042.0
Skyler,32881.5
Daniela,32790.5
Ramona,32741.0
Candice,32524.5
Jada,32403.5
Carly,32371.0
Jordyn,32236.0
Hilda,32203.0
Janie,32176.0
Damon,32105.0
Ryder,31927.5
Rowan,31737.0
Mckenzie,31688.0
Adrienne,31682.5
Rene,31639.5
Virgil,31634.0
Maverick,31546.0
Dillon,31473.5
Alana,31437.0
Dominick,31407.0
Irma,31316.0
Morris,31222.5
Jonathon,31199.0
Harley,31192.5
Damien,30962.5
Josie,30923.5
Juliana,30846.5
Sonia,30828.0
Bennett,30756.0
Braxton,30709.0
Daryl,30527.5
Elliott,30513.0
Kristopher,30425.5
Donnie,30318.5
Malachi,30264.5
Pat,30166.0
Gayle,30140.5
Opal,30105.0
Robyn,30095.5
Cassidy,30007.0
Julio,29956.5
Gage,29718.5
Yvette,29706.5
Patty,29682.5
Callie,29537.0
Alberto,29443.0
Lynne,29365.5
Rickey,29274.5
Karina,29245.5
Beau,29244.0
Piper,29182.0
Abby,29134.0
Alberta,29061.0
Bentley,29010.0
August,29007.5
Camden,28948.5
Willow,28901.0
Lilly,28839.0
Enrique,28742.0
Elliot,28680.0
Verna,28574.5
Jameson,28518.0
Emerson,28492.5
Kari,28358.5
Reese,28318.5
Greyson,28290.5
Mallory,28216.0
Myles,28149.0
Kaitlin,27972.0
Trenton,27895.0
Noel,27803.5
Eden,27779.0
Josue,27566.5
Declan,27475.5
Conner,27456.5
Alisha,27355.0
Fannie,27264.5
Kiara,27245.5
Selena,27204.0
Luther,27015.0
Salvatore,26869.0
Bennie,26701.0
Arturo,26700.0
Joey,26667.5
Jasper,26525.5
Inez,26503.0
Lula,26468.5
Alfredo,26437.5
Colby,26270.0
Tessa,26267.5
Lyle,26265.0
Janelle,26240.0
River,26218.5
Otis,26092.0
Chance,26025.0
Emery,25948.5
Gerardo,25946.0
Alejandra,25923.5
Lacey,25674.0
Caitlyn,25596.0
Zane,25566.0
Kaiden,25484.0
Tucker,25408.0
Amir,25346.0
Earnest,25247.5
Darius,25229.0
Alec,25182.0
Marcos,25156.0
Lucia,25117.0
Kirsten,25091.5
Jude,25088.0
Vicky,25076.5
Michaela,25066.0
Olga,24930.0
Laverne,24894.0
Loren,24874.0
London,24847.5
Homer,24745.0
Zion,24535.5
Hayley,24492.5
Cara,24435.5
Emanuel,24435.0
Cristina,24432.5
Nova,24393.0
Esmeralda,24283.0
Kylee,24239.5
Amari,24200.0
Kelvin,24135.0
Dawson,23911.5
Brooks,23882.5
Muriel,23788.5
Giselle,23702.5
Kenny,23702.0
Malik,23616.5
Raquel,23596.5
Aliyah,23452.5
Ira,23449.0
Griffin,23364.5
Waylon,23300.0
Ellis,23280.5
Grady,23221.0
Ashlyn,23196.0
Kinsley,23164.5
Pablo,23162.0
Jaclyn,23149.0
Rudolph,23112.0
Forrest,22883.0
Kelley,22872.5
Maddox,22845.5
Salvador,22759.5
Johanna,22534.5
Archie,22320.0
Jayla,22281.5
Gael,22254.0
Ty,22252.5
Rudy,22036.0
Latoya,21987.5
Carlton,21863.0
Allie,21829.0
Clark,21805.5
Braden,21775.5
Willis,21728.0
Alexia,21671.0
Raven,21663.5
Makenzie,21658.5
Nadia,21586.5
Tommie,21450.0
Delaney,21447.0
Hadley,21443.5
Jasmin,21440.5
Rochelle,21436.5
Benny,21426.5
Lane,21296.5
Jaylen,21279.5
Mckenna,21226.0
Christie,21179.5
Jazmin,21174.5
Elisa,21161.5
Carolina,21085.5
Jayce,21035.0
Laurel,20913.5
Ashlee,20886.0
Mariana,20772.5
Ernesto,20540.5
Lukas,20510.0
Elisabeth,20431.0
Chandler,20411.0
Alondra,20339.5
Mercedes,20299.0
Cayden,20211.0
Jermaine,20184.5
Rory,20077.0
Cassie,20039.0
Fabian,19939.0
Kasey,19882.5
Jalen,19866.0
Madeleine,19812.5
Sage,19763.0
Leticia,19597.0
Walker,19490.0
Jaiden,19452.0
Kameron,19429.0
Dixie,19381.5
Sammy,19367.0
Leigh,19173.0
Xander,19158.0
Ryker,19089.0
Ali,19075.0
Saul,18970.5
Keegan,18930.5
Junior,18915.0
Corbin,18891.0
Kyler,18812.0
Hanna,18791.5
Ollie,18786.5
Yesenia,18781.5
Finley,18686.0
Rylan,18685.0
Gustavo,18679.0
Mandy,18499.5
Ebony,18498.0
Jazmine,18277.0
Nikki,18209.0
Irving,18194.5
Brooklynn,18175.5
Sasha,18133.5
Jewel,18056.5
Sylvester,18023.0
Phoenix,17981.5
Alissa,17915.0
Robbie,17910.0
Desmond,17879.5
Milo,17869.5
Lorena,17847.5
Paris,17802.5
Toby,17758.0
Margarita,17722.5
Fatima,17708.5
Merle,17665.0
Tatum,17577.5
Eula,17560.5
Justice,17369.0
Reid,17367.0
Winifred,17314.5
Tori,17006.5
Demetrius,16943.5
Marley,16805.5
Britney,16785.0
Justine,16732.5
Carroll,16642.5
Gregg,16566.5
Kayleigh,16467.0
Ciara,16445.0
Roosevelt,16377.5
Laurence,16363.0
Tatiana,16327.0
Terrell,16313.5
Marisol,16264.0
Millie,16255.0
Esteban,16152.0
Camryn,16141.5
Diamond,16135.5
Finn,16121.5
Cleo,16118.5
Hugo,15964.5
Sterling,15938.0
Ronda,15886.5
Judah,15837.5
Cade,15835.5
Lesley,15720.5
Savanna,15618.5
Mayra,15596.5
Patrice,15537.0
Dexter,15514.5
Teagan,15479.5
Brennan,15465.0
Presley,15440.5
Tia,15416.0
Jamal,15388.5
Karter,15311.5
Francesca,15309.5
Rodolfo,15253.5
Kassandra,15218.0
Hallie,15158.0
Cruz,15144.5
Asia,15105.5
Ashleigh,14946.5
Marty,14921.0
Lamar,14886.5
Kendrick,14859.0
Darin,14834.5
Holden,14817.5
Macy,14799.5
Reed,14751.5
Kali,14746.0
Cornelius,14721.0
Remington,14695.5
Keri,14642.5
Brantley,14637.0
Guillermo,14390.5
Orville,14349.5
Latasha,14310.5
Shayla,14281.5
Antonia,14216.5
Haylee,14214.0
Moises,14178.0
Anderson,14157.5
Adriel,14149.0
Fern,14135.0
Theo,14110.0
Arielle,14095.5
Heaven,14047.5
Teddy,14023.0
Blair,14008.5
Felipe,14008.0
Arya,14004.5
Essie,13963.0
Catalina,13928.0
Lou,13766.0
Quinton,13722.5
Deandre,13680.5
Blaine,13591.5
Addie,13587.0
Zander,13584.0
Ora,13573.0
Barrett,13518.5
Tiana,13494.5
Kamryn,13491.5
Royce,13450.0
Dewey,13407.0
Davis,13186.5
Beckett,13151.5
Will,13144.5
Gale,13100.5
Clare,13073.5
Hillary,13025.5
Imani,12998.0
Cierra,12963.0
Archer,12948.0
Paxton,12917.0
Randi,12905.0
Delia,12892.0
Fay,12859.5
Gilberto,12843.0
Londyn,12799.0
Kailey,12795.5
Darnell,12710.0
Quincy,12704.5
Randal,12652.0
Joni,12649.0
Landen,12613.0
Mickey,12569.0
Tania,12558.5
Luz,12497.5
Messiah,12322.5
Amara,12213.0
Jodie,12203.5
Louie,12176.5
Goldie,12174.5
Kiana,12154.0
Jewell,12114.0
Antoine,12066.0
Kenya,11965.5
Luka,11963.5
Armani,11833.5
Rocky,11825.0
Aspen,11632.0
Wilfred,11625.5
Simone,11615.0
Jax,11600.0
Legend,11598.0
Stevie,11560.0
Van,11545.0
Percy,11531.5
Tate,11494.0
Ari,11488.5
Jett,11454.5
Johnathon,11439.0
Rogelio,11427.0
Taryn,11389.0
Stephan,11343.5
Ingrid,11300.5
Blanca,11300.0
Paola,11216.0
Elva,11187.5
Lyric,11164.0
Dorian,11159.0
Maribel,11034.5
Kris,11014.5
Cary,11014.0
Tristen,11013.0
Kristian,10992.5
Caiden,10965.0
Sammie,10943.0
Skye,10936.0
Marquis,10927.5
Cadence,10863.0
Remi,10815.0
Rylie,10808.0
Tiara,10781.5
Lupe,10767.5
Emilee,10749.0
Charley,10732.0
Kody,10726.0
Carey,10720.5
Ace,10650.0
Haven,10642.0
Emory,10606.0
Milan,10600.5
Elisha,10588.0
Hilary,10572.5
Kobe,10559.5
Tamika,10546.0
Knox,10444.0
Maritza,10443.5
Cali,10406.5
Noe,10387.0
Atlas,10379.0
Sloane,10369.0
Reece,10352.0
Audra,10316.5
Oakley,10289.0
Cohen,10169.5
Keaton,10117.5
Baylee,10116.0
Latonya,10099.0
Lauryn,10003.5
India,9976.5
Harlan,9947.0
Lacy,9918.5
Karson,9911.0
Aden,9854.0
Ola,9824.0
Journey,9738.5
Emersyn,9695.0
Kenzie,9679.0
Emilie,9677.5
Johnie,9676.0
Darcy,9659.5
Itzel,9608.0
Miracle,9514.5
Orion,9449.5
Arlo,9413.5
Jami,9395.0
Darian,9355.5
Prince,9330.0
Perla,9320.0
Ember,9299.5
Uriel,9263.0
Nehemiah,9198.0
Grover,9174.0
Kyrie,9138.5
Juniper,9115.5
Ainsley,9105.0
Mavis,9075.5
Blakely,9028.0
Jamison,9007.0
Araceli,8930.0
Loyd,8930.0
Marcy,8915.5
Monte,8880.5
Octavia,8830.0
Susana,8796.0
Esperanza,8791.5
Nico,8785.5
Shiloh,8683.5
Beckham,8677.5
Tanisha,8674.5
Santos,8619.5
Kaylin,8578.5
Selma,8562.0
Kaydence,8469.5
Kiley,8423.0
Cortney,8260.0
Monroe,8241.0
Silvia,8235.5
Latisha,8231.5
Jaylin,8221.0
Denver,8146.5
Jess,8132.5
Lennox,8131.0
Marlin,8107.5
Precious,8085.5
Chanel,8037.5
Royal,8015.5
Denis,7933.5
Remy,7932.0
Kareem,7896.5
Mckinley,7854.5
Porter,7846.5
Javon,7819.0
Lennon,7781.5
Elton,7777.0
Sonny,7771.5
Elwood,7768.5
Hayes,7746.0
Beatriz,7721.0
Pierce,7719.5
Jensen,7711.5
Rae,7666.0
Scotty,7602.5
Gianni,7600.5
Kamari,7564.0
Dion,7538.5
Janae,7530.5
Dee,7524.0
Gunnar,7502.0
Leighton,7492.0
Unknown,7478.5
Vaughn,7468.0
Marcel,7461.5
Sutton,7455.0
Gay,7419.0
Kaitlynn,7380.5
Kellen,7354.0
Marlee,7278.5
Hailee,7270.5
Elma,7235.5
Zuri,7234.5
Virgie,7200.5
Rusty,7167.0
Juana,7164.5
Kieran,7136.5
Shea,7131.0
Pearlie,7110.5
Hollie,7109.5
Devan,7103.0
Asa,7093.5
Ivory,7079.5
Deshawn,7040.5
Sharron,7039.5
Consuelo,6999.5
Gerry,6954.0
Regan,6899.5
Jamari,6824.5
Abbie,6819.0
Odell,6802.0
Graciela,6786.5
Rickie,6736.5
Carina,6679.0
Lawson,6669.5
Elvis,6666.0
Tierra,6523.0
Harlow,6503.5
Marta,6476.5
Lexie,6456.0
Jaelyn,6446.5
Kayson,6445.5
Cristal,6435.5
Lesly,6423.5
Amani,6398.5
Jadyn,6377.0
Alijah,6336.0
Sullivan,6331.0
Haleigh,6282.0
Layne,6271.5
Camron,6258.5
Rhea,6207.0
Winter,6199.5
Joelle,6193.0
Martina,6190.0
Augustine,6154.5
Avis,6150.5
Deon,6135.0
Lourdes,6110.0
Carlie,6089.5
Princess,6074.0
Bodhi,6044.5
Coy,6036.0
Loraine,6030.5
Braylen,6015.0
Braeden,6012.5
Meaghan,6004.0
Hendrix,5996.5
Saylor,5989.0
Hollis,5984.5
Ernie,5926.5
Wren,5907.5
Rosario,5892.0
Elian,5888.0
Niko,5851.0
Devyn,5849.5
Wiley,5845.5
Averie,5844.0
Al,5819.0
Kourtney,5788.0
Rocio,5773.5
Jordon,5741.0
Carmine,5735.5
Rhys,5724.5
Lakeisha,5721.5
Jayleen,5709.5
Davion,5703.0
Tyree,5702.0
Bo,5698.0
Kori,5674.5
Benito,5666.5
Jayme,5646.5
Kory,5640.0
Davon,5632.5
Alden,5620.5
Yahir,5598.5
Domingo,5558.0
Maricela,5557.0
Stetson,5533.5
Yadira,5523.5
Kamden,5522.5
Kadence,5498.0
Trace,5497.5
Mina,5496.5
Landyn,5495.0
Omari,5493.0
Josefina,5472.5
Donnell,5463.0
Palmer,5450.0
Raiden,5426.5
Ester,5412.0
Wilmer,5410.0
Galen,5357.0
Kirby,5332.5
Brice,5329.5
Denny,5314.0
Ashanti,5312.0
Ronny,5304.0
Chaim,5289.5
Scottie,5282.0
Lavern,5266.0
Dayton,5222.0
Ryland,5214.0
Forest,5212.5
Noa,5189.5
Merlin,5187.5
Brittani,5180.5
Tayler,5130.5
Lizette,5124.0
Azariah,5032.0
Braelyn,5019.0
Kaye,4987.0
Memphis,4977.5
Bowen,4968.0
Beverley,4966.5
Alva,4945.5
Saige,4939.5
Damaris,4930.0
Kacey,4923.0
Sunny,4901.0
Brylee,4883.5
Belen,4871.5
Triston,4870.5
Bristol,4860.0
Hassan,4850.0
Petra,4846.5
Ashly,4839.5
Dara,4834.0
Francisca,4758.5
Karsyn,4753.5
Mariela,4732.0
Lessie,4724.0
Clair,4719.5
Oaklynn,4696.0
Jaycee,4693.5
Collins,4686.5
Nikita,4683.0
Kenna,4682.0
Rigoberto,4635.5
Kolby,4623.0
Baylor,4621.5
Reign,4620.0
Dusty,4610.5
Santana,4549.0
Briar,4545.0
