scenario,matcher,f1_mean,f1_std,closure_f1_mean,closure_f1_std,b3_precision_mean,b3_precision_std,b3_recall_mean,b3_recall_std,b3_f1_mean,b3_f1_std
couple_merge,learned,0.8870903388540862,0.0023736732695235226,0.8870526149660185,0.0023920256003412683,0.9998295982232989,0.0001782762878564312,0.8697859882899254,0.0025875019677136226,0.9302832950768097,0.0014912458834158888
couple_merge,splink,0.8591022072628004,0.0031612797815143783,0.8587866745467796,0.003171412645069122,0.9810699287589053,0.0012466260711549552,0.8542418736119524,0.00377758477567162,0.9132686533878,0.002046071498720444
death_survivor_persistence,baseline,0.9996613358179754,0.0004759218926870524,0.9996613358179754,0.0004759218926870524,0.9996610169491525,0.00047642601283136207,1.0,0.0,0.9998304286357094,0.00023833924973493364
death_survivor_persistence,learned,0.9998306041784304,0.0002727531855107891,0.9998306041784304,0.0002727531855107891,0.9998305084745762,0.00027290728335571283,1.0,0.0,0.9999152302910426,0.0001364921987961568
death_survivor_persistence,splink,0.9982523133690148,0.0008580668279922265,0.9982523133690148,0.0008580668279922265,0.9982485875706215,0.0008609513710480422,1.0,0.0,0.9991233590464024,0.0004311999515009448
divorce_custody,baseline,0.9910110884906101,0.0007945421803858151,0.9913502681326284,0.0008071089917523756,0.9994292195523597,0.00017478743450069907,0.9891427084609571,0.0009918035853881905,0.9942591504700887,0.0005335645068557975
divorce_custody,learned,0.9939857947685482,0.000643858541610433,0.9941113950253875,0.0006582556981699512,0.9998522082102245,0.0001037721338225053,0.9922852954739365,0.0008592707696762819,0.9960542126761321,0.00043900621817520287
divorce_custody,splink,0.9875208680824457,0.0007478080853728675,0.9845060929753384,0.0014684082852280385,0.9929990398638416,0.0007243077649971865,0.9894539219206033,0.0010023606675870114,0.9912230379566296,0.0006823400140854966
family_birth,baseline,0.932342579439297,0.002713920681536665,0.9322319082314083,0.0027251507185851944,0.9971816554809843,0.0005847075702047303,0.9299015659955258,0.002740209596494812,0.9623652188430825,0.0015032377223491889
family_birth,learned,0.9377437679400307,0.0028183638379438375,0.9377261969178836,0.002819012528176618,0.9997859060402685,0.00019054966613035284,0.9331744966442953,0.0029264703720592736,0.9653302602571822,0.001547445245309813
family_birth,splink,0.8838616789314445,0.0037034413524117986,0.882702550795976,0.003658549366309394,0.939223042505593,0.002105475976082598,0.9305548098434004,0.0027376635988257303,0.9348674277291311,0.0021274229621627426
high_duplication_dedup,baseline,0.9960222095833455,0.0005234096979002456,0.9968450786152891,0.0004408207222991808,0.9994557539682539,0.00017483612906849688,0.9980309523809524,0.00036621607218725877,0.9987427975671916,0.0001725888248754583
high_duplication_dedup,learned,0.9982635875454828,0.0004650799075164689,0.9986708767033263,0.0003298452998879341,0.9998313492063492,9.28284976694339e-05,0.9990553571428571,0.00023810525037737363,0.9994431837525412,0.00010867093984109305
high_duplication_dedup,splink,0.992522459680756,0.0005886431630734256,0.990752937729732,0.0012395601675243703,0.9962236441798942,0.0006089585810417527,0.9980498015873016,0.00038260047533006603,0.9971357445065241,0.00031826762347123537
high_noise_identity_drift,baseline,0.9807291641861351,0.001094845648652728,0.9806321072426594,0.001151894586485473,0.9994423780781834,0.00018338272990016903,0.9826471070783498,0.0009341718551154696,0.990973392081991,0.0005014593332477635
high_noise_identity_drift,learned,0.9931342335373097,0.0006523461940632443,0.9930917108208661,0.0006595258793136635,0.9998116967991015,0.00011880762143377694,0.9932991226550516,0.0006024013665613911,0.9965446903837124,0.00031992054000646626
high_noise_identity_drift,splink,0.9783621498029692,0.0012422012521593482,0.9779631599071926,0.0012744906000037117,0.9974382323887001,0.0003735455483207128,0.9821681246844823,0.000983851536545768,0.9897440774266789,0.0005799754098293281
low_overlap_sparse_coverage,baseline,0.9970652654690909,0.0007799055288015977,0.997020722537495,0.0008045753448839174,0.9995711329390436,0.000224843434174296,0.990595760950751,0.0007961117094238269,0.9950630341555554,0.0003922248547136196
low_overlap_sparse_coverage,learned,0.9988221523969806,0.0004337471775648479,0.9988221523969806,0.0004337471775648479,0.9999010928741914,8.364758961636503e-05,0.9910213474613963,0.0006444157318499676,0.9954413226529397,0.0003296146501619097
low_overlap_sparse_coverage,splink,0.9940371082334076,0.0010564856407543751,0.9938166190823283,0.0011282731526733982,0.9980929949183988,0.0003434886336217994,0.9905957682297568,0.000785023484880577,0.99433013066478,0.0004884812528938119
name_change_lifecycle,baseline,0.9998849325567531,9.902373625957111e-05,0.9997954618051244,0.00016167580477809937,0.9997953964194373,0.00016175333300094287,1.0,0.0,0.9998976818540456,8.089606315210851e-05
name_change_lifecycle,learned,0.9999360687386935,6.0271310638874696e-05,0.999872152188445,0.0001205214346919566,0.9998721227621484,0.00012056381605903909,1.0,0.0,0.9999360540213639,6.029250952036753e-05
name_change_lifecycle,splink,0.9983659089950955,0.00026395489159265106,0.997538182001005,0.0003889821512747193,0.997531969309463,0.0003909038880856099,1.0,0.0,0.9987644254704975,0.0001959350896451462
roommates_split,baseline,0.9906942469602574,0.0003001968977307805,0.9907253949088359,0.00030001958903874525,0.9995053438746024,0.00021954239649100456,0.9815040262534476,0.0009219118037124284,0.9904226235676173,0.0003992037550918668
roommates_split,learned,0.9972148517645083,0.00028388208659537324,0.9972314869386503,0.0002940319404461954,0.9998138303587585,0.00011986522610794342,0.9903259717950641,0.0006962875891648854,0.9950471627395763,0.00034347691383642396
roommates_split,splink,0.9888823310437094,0.0005945722362797604,0.9872146011643119,0.0007108978252524634,0.996539203680492,0.0003987715833272052,0.9814903966843389,0.0009318418881434259,0.9889573011328862,0.0004930753382610308
single_movers,baseline,0.9784200556247022,0.0012158443494453145,0.9782950484800608,0.0012286488528329747,0.9996325402022848,0.00014085529513917737,0.9808829949792621,0.0010762141268139088,0.9901687443170865,0.0005525529780123978
single_movers,learned,0.9939591297302774,0.0008016834776747549,0.9939591297302774,0.0008016834776747549,0.9998508331514225,0.00011562430751707373,0.9946463654223969,0.0007310234008960188,0.9972416806406599,0.0003654465890161184
single_movers,splink,0.977252539505338,0.0012258210078005336,0.9765343542660858,0.0013012714987962284,0.9982021756530598,0.0003619898283759131,0.9807192752674089,0.0010297018503422463,0.9893832489225194,0.0005773341573170624
three_source_partial_overlap,baseline,0.9979099017716024,0.00019550764551818433,0.998356739153842,0.00022820801788806642,0.9993732625226783,0.00014531740187754503,0.9971634304335655,0.00028789835945041195,0.9982671007340344,0.00016378438163434055
three_source_partial_overlap,learned,0.9991261511238978,0.000232880144281638,0.999380960501339,0.0001804411594738749,0.9998036008783083,9.459495961086425e-05,0.997883369459711,0.00021525745134802024,0.998842549369833,0.00011561738166626476
three_source_partial_overlap,splink,0.9952594034217856,0.00047609842250817964,0.9921393158938766,0.0014582540058160768,0.9945044951920707,0.0009279797425000043,0.9971692884068639,0.0002750203418972351,0.9958348598038029,0.0004405161184804221
