seed,records_a,records_b,records,true_pairs,cartesian_pairs,candidate_pairs,candidate_recall,matcher,threshold,tp,fp,fn,predicted,precision,recall,f1,false_positives,b3_precision,b3_recall,b3_f1,predicted_clusters,truth_clusters,coaddress_false_positives,coaddress_fp_share,arm,matches_e2,generation_seconds,candidate_seconds
20260726,5499,11011,16510,10460,60549489,25801,0.8706500956022944,baseline,0.65,4013,0,6447,4013,1.0,0.3836520076481836,0.554549851447523,0,1.0,0.5595497678174722,0.7175785978289616,12497,6050,0,0.0,GeCo analog,True,3.756891600001836,8.830139300000155
20260726,5499,11011,16510,10460,60549489,25801,0.8706500956022944,learned,0.6500030591266042,5465,0,4995,5465,1.0,0.5224665391969407,0.686342229199372,0,1.0,0.6438522107813442,0.783345615327929,11045,6050,0,0.0,GeCo analog,True,3.756891600001836,8.830139300000155
20260726,5499,11011,16510,10460,60549489,25801,0.8706500956022944,splink,0.9986013472769922,6745,2,3715,6747,0.9997035719579073,0.6448374760994264,0.7839832626256755,2,0.9998586715122146,0.725348273773472,0.8407637859105934,9763,6050,0,0.0,GeCo analog,True,3.756891600001836,8.830139300000155
20260727,5499,11011,16510,10460,60549489,24527,0.8689292543021032,baseline,0.65,4098,0,6362,4098,1.0,0.39177820267686425,0.5629894216238495,0,1.0,0.5636482939632425,0.7209399916072079,12412,6050,0,0.0,GeCo analog,True,4.025250799997593,8.608712900007959
20260727,5499,11011,16510,10460,60549489,24527,0.8689292543021032,learned,0.6500030591266042,5530,0,4930,5530,1.0,0.52868068833652,0.6916823014383989,0,1.0,0.6476983646274969,0.7861856011175021,10980,6050,0,0.0,GeCo analog,True,4.025250799997593,8.608712900007959
20260727,5499,11011,16510,10460,60549489,24527,0.8689292543021032,splink,0.9986013472769922,6748,3,3712,6751,0.9995556213894238,0.6451242829827916,0.7841496717215733,3,0.9997173430244298,0.7249747627700394,0.8404628758503757,9759,6050,0,0.0,GeCo analog,True,4.025250799997593,8.608712900007959
20260728,5499,11011,16510,10460,60549489,25087,0.8680688336520076,baseline,0.65,3974,0,6486,3974,1.0,0.3799235181644359,0.5506443120410142,0,1.0,0.5567231980617662,0.7152500826799872,12536,6050,0,0.0,GeCo analog,True,3.696816600000602,8.388522499997634
20260728,5499,11011,16510,10460,60549489,25087,0.8680688336520076,learned,0.6500030591266042,5358,1,5102,5359,0.9998133980220191,0.5122370936902486,0.6774132372463494,1,0.9999091459721381,0.6372703412073476,0.7784271029779323,11151,6050,0,0.0,GeCo analog,True,3.696816600000602,8.388522499997634
20260728,5499,11011,16510,10460,60549489,25087,0.8680688336520076,splink,0.9986013472769922,6662,5,3798,6667,0.9992500374981251,0.6369024856596558,0.7779529398026508,5,0.9995800524934383,0.7213809812235022,0.8379946145808639,9843,6050,0,0.0,GeCo analog,True,3.696816600000602,8.388522499997634
20260729,5499,11011,16510,10460,60549489,24534,0.8621414913957935,baseline,0.65,3923,1,6537,3924,0.9997451580020388,0.3750478011472275,0.5454671857619577,1,0.9999192408641226,0.5543912780133095,0.7133021350883273,12586,6050,0,0.0,GeCo analog,True,4.25388920000114,8.244581400009338
20260729,5499,11011,16510,10460,60549489,24534,0.8621414913957935,learned,0.6500030591266042,5379,1,5081,5380,0.9998141263940521,0.514244741873805,0.6791666666666667,1,0.9999091459721381,0.6394407429840473,0.7800441522878059,11130,6050,0,0.0,GeCo analog,True,4.25388920000114,8.244581400009338
20260729,5499,11011,16510,10460,60549489,24534,0.8621414913957935,splink,0.9986013472769922,6573,3,3887,6576,0.9995437956204379,0.6283938814531549,0.771660014087814,3,0.9997314758732083,0.7140621845346267,0.8330879709756521,9934,6050,0,0.0,GeCo analog,True,4.25388920000114,8.244581400009338
20260720,5499,11011,16510,10460,60549489,46243,0.9979923518164436,baseline,0.65,8029,18,2431,8047,0.9977631415434324,0.7675908221797323,0.8676716917922949,18,0.9986008479709269,0.8470220068645634,0.9165869311695134,8466,6050,12,0.6666666666666666,SOG couple_merge,True,,
20260720,5499,11011,16510,10460,60549489,46243,0.9979923518164436,learned,0.6500030591266042,8315,7,2145,8322,0.9991588560442202,0.7949330783938815,0.8854222127568949,7,0.9995275590551181,0.8681809004644025,0.9292357507259973,8191,6050,0,0.0,SOG couple_merge,True,,
20260720,5499,11011,16510,10460,60549489,46243,0.9979923518164436,splink,0.9986013472769922,8027,257,2433,8284,0.9689763399323998,0.7673996175908222,0.8564874093043108,257,0.9811861498081975,0.8508984453866631,0.9114096278047925,8239,6050,250,0.9727626459143969,SOG couple_merge,True,,
20260721,5499,11011,16510,10460,60549489,45861,0.9980879541108987,baseline,0.65,8124,20,2336,8144,0.9975442043222004,0.7766730401529637,0.8733605676198667,20,0.9986069049061175,0.8531395114072682,0.9201594769500523,8370,6050,16,0.8,SOG couple_merge,True,,
20260721,5499,11011,16510,10460,60549489,45861,0.9980879541108987,learned,0.6500030591266042,8390,1,2070,8391,0.9998808246931236,0.8021032504780115,0.8901384541934114,1,0.9999091459721381,0.8729053099132252,0.9321008818647266,8119,6050,1,1.0,SOG couple_merge,True,,
20260721,5499,11011,16510,10460,60549489,45861,0.9980879541108987,splink,0.9986013472769922,8125,290,2335,8415,0.9655377302436126,0.7767686424474187,0.8609271523178808,290,0.9791802947708466,0.8579244902079849,0.9145507235970352,8111,6050,285,0.9827586206896551,SOG couple_merge,True,,
20260722,5499,11011,16510,10460,60549489,45601,0.9979923518164436,baseline,0.65,8075,14,2385,8089,0.9982692545432068,0.7719885277246654,0.870666882311715,14,0.9989703210175651,0.8504542701393478,0.9187490847846972,8421,6050,13,0.9285714285714286,SOG couple_merge,True,,
20260722,5499,11011,16510,10460,60549489,45601,0.9979923518164436,learned,0.6500030591266042,8334,3,2126,8337,0.9996401583303347,0.7967495219885278,0.8867372453051018,3,0.9997375328083988,0.8696951342621027,0.9301932967558159,8173,6050,0,0.0,SOG couple_merge,True,,
20260722,5499,11011,16510,10460,60549489,45601,0.9979923518164436,splink,0.9986013472769922,8077,250,2383,8327,0.9699771826588207,0.7721797323135755,0.8598498962048226,250,0.981974560872199,0.8547345043408348,0.9139471846239917,8193,6050,249,0.996,SOG couple_merge,True,,
20260723,5499,11011,16510,10460,60549489,45660,0.9978011472275334,baseline,0.65,8119,19,2341,8138,0.9976652740231015,0.7761950286806883,0.8731046349069792,19,0.9984554815263477,0.8528770442156651,0.9199425257478425,8375,6050,12,0.631578947368421,SOG couple_merge,True,,
20260723,5499,11011,16510,10460,60549489,45660,0.9978011472275334,learned,0.6500030591266042,8398,0,2062,8398,1.0,0.802868068833652,0.8906564853112737,0,1.0,0.8734100545124546,0.932428063368919,8112,6050,0,0.0,SOG couple_merge,True,,
20260723,5499,11011,16510,10460,60549489,45660,0.9978011472275334,splink,0.9986013472769922,8117,228,2343,8345,0.9726782504493708,0.7760038240917781,0.8632810422759905,228,0.9831292723025008,0.856309307490442,0.9153474930744372,8173,6050,221,0.9692982456140351,SOG couple_merge,True,,
20260724,5499,11011,16510,10460,60549489,45877,0.9982791586998088,baseline,0.65,8016,15,2444,8031,0.9981322375793799,0.7663479923518165,0.8670163863501162,15,0.9990248334342824,0.8464768826973939,0.9164461017303085,8482,6050,15,1.0,SOG couple_merge,True,,
20260724,5499,11011,16510,10460,60549489,45877,0.9982791586998088,learned,0.6500030591266042,8317,0,2143,8317,1.0,0.7951242829827916,0.885871012408798,0,1.0,0.8684433676560045,0.9295902489626776,8193,6050,0,0.0,SOG couple_merge,True,,
20260724,5499,11011,16510,10460,60549489,45877,0.9982791586998088,splink,0.9986013472769922,8014,269,2446,8283,0.967523844017868,0.7661567877629063,0.8551459211438937,269,0.9804926307288516,0.8508378760347581,0.9110755970219343,8236,6050,268,0.9962825278810409,SOG couple_merge,True,,
20260725,5499,11011,16510,10460,60549489,44767,0.9978967495219885,baseline,0.65,8051,21,2409,8072,0.997398414271556,0.7696940726577438,0.868875458666091,21,0.9986008479709269,0.848092065414934,0.917213088913619,8446,6050,16,0.7619047619047619,SOG couple_merge,True,,
20260725,5499,11011,16510,10460,60549489,44767,0.9978967495219885,learned,0.6500030591266042,8316,2,2144,8318,0.9997595575859581,0.7950286806883365,0.8857173287890084,2,0.9998182919442762,0.8679790026247071,0.9292456803220621,8193,6050,0,0.0,SOG couple_merge,True,,
20260725,5499,11011,16510,10460,60549489,44767,0.9978967495219885,splink,0.9986013472769922,8050,237,2410,8287,0.971400989501629,0.7695984703632888,0.8588040753187178,237,0.9825741974560875,0.8515848980416199,0.9124021463709658,8239,6050,231,0.9746835443037974,SOG couple_merge,True,,
20260726,5499,11011,16510,10460,60549489,44819,0.9978011472275334,baseline,0.65,8087,19,2373,8106,0.9976560572415495,0.7731357552581262,0.8711623397608532,19,0.9985645063597821,0.8514839491217775,0.9191777078149513,8404,6050,19,1.0,SOG couple_merge,True,,
20260726,5499,11011,16510,10460,60549489,44819,0.9978011472275334,learned,0.6500030591266042,8329,9,2131,8338,0.9989206044615015,0.7962715105162524,0.8861581019257367,9,0.9995457298606905,0.8693317181506497,0.9299023942255487,8178,6050,0,0.0,SOG couple_merge,True,,
20260726,5499,11011,16510,10460,60549489,44819,0.9978011472275334,splink,0.9986013472769922,8088,280,2372,8368,0.9665391969407265,0.7732313575525812,0.8591459528362013,280,0.9798142539874827,0.8558449424591409,0.9136435297443259,8154,6050,280,1.0,SOG couple_merge,True,,
20260727,5499,11011,16510,10460,60549489,44211,0.9978967495219885,baseline,0.65,8176,37,2284,8213,0.9954949470351881,0.7816443594646272,0.8757028865206448,37,0.9975348273773472,0.8576418332324202,0.9223138865749803,8303,6050,37,1.0,SOG couple_merge,True,,
20260727,5499,11011,16510,10460,60549489,44211,0.9978967495219885,learned,0.6500030591266042,8397,4,2063,8401,0.999523866206404,0.802772466539197,0.8904087800222682,4,0.9998182919442762,0.8735917625681778,0.9324525848504769,8112,6050,4,1.0,SOG couple_merge,True,,
20260727,5499,11011,16510,10460,60549489,44211,0.9978967495219885,splink,0.9986013472769922,8178,278,2282,8456,0.9671239356669821,0.7818355640535373,0.8646648340029605,278,0.9802079547748841,0.8619220674339074,0.9172673554081746,8072,6050,278,1.0,SOG couple_merge,True,,
20260728,5499,11011,16510,10460,60549489,45945,0.9989483747609943,baseline,0.65,8020,19,2440,8039,0.9976365219554671,0.7667304015296367,0.867073895886264,19,0.9985887341005452,0.8467999192409015,0.9164517814283494,8472,6050,17,0.8947368421052632,SOG couple_merge,True,,
20260728,5499,11011,16510,10460,60549489,45945,0.9989483747609943,learned,0.6500030591266042,8290,1,2170,8291,0.9998793872874201,0.7925430210325047,0.8842195082928911,1,0.9999394306480921,0.8663638199071672,0.9283714686285153,8219,6050,0,0.0,SOG couple_merge,True,,
20260728,5499,11011,16510,10460,60549489,45945,0.9989483747609943,splink,0.9986013472769922,8022,252,2438,8274,0.9695431472081218,0.7669216061185469,0.8564108038859827,252,0.9815322603905282,0.8508378760347581,0.9115241588901806,8245,6050,249,0.9880952380952381,SOG couple_merge,True,,
20260729,5499,11011,16510,10460,60549489,45036,0.9983747609942638,baseline,0.65,8033,21,2427,8054,0.9973925999503352,0.7679732313575526,0.8677757372798962,21,0.9984918231374927,0.8474459923279186,0.9167891646195278,8460,6050,19,0.9047619047619048,SOG couple_merge,True,,
20260729,5499,11011,16510,10460,60549489,45036,0.9983747609942638,learned,0.6500030591266042,8312,0,2148,8312,1.0,0.7946462715105163,0.8855742595354784,0,1.0,0.8679588128407396,0.9293125810635751,8198,6050,0,0.0,SOG couple_merge,True,,
20260729,5499,11011,16510,10460,60549489,45036,0.9983747609942638,splink,0.9986013472769922,8030,265,2430,8295,0.9680530440024111,0.7676864244741873,0.8563049853372433,265,0.9806077124974766,0.8515243286897134,0.9115187173423334,8222,6050,261,0.9849056603773585,SOG couple_merge,True,,
