implementation_phase,run_kind,archived_run_kind,trial_id,status,error_type,error_message,requested_population,phase1_n_records_requested,records_to_people_ratio,seed,successfully_generated_population,truth_population_final,phase1_records_written,phase1_formal_copy_records_added,total_observed_records,total_households,total_addresses_housing_units,total_events_generated,generation_wall_seconds,phase1_generation_wall_seconds,phase2_generation_wall_seconds_excluding_validator,phase2_pipeline_wall_seconds_including_validator,records_generated_per_second,peak_process_rss_bytes,peak_process_rss_mb,final_artifact_size_bytes,final_artifact_size_mb,phase1_artifact_size_bytes,phase2_artifact_size_bytes,validator_runtime_seconds,all_output_contract_checks_passed,validator_issue_count,quality_status,unique_first_names_used,unique_last_names_used,unique_full_names,observed_unique_first_names,observed_unique_last_names,observed_unique_full_names,people_sharing_identical_full_name,people_sharing_identical_full_name_pct,records_per_person_mean,records_per_person_median,records_per_person_sd,phase1_records_per_person_mean,phase1_records_per_person_median,phase1_records_per_person_sd,duplicate_record_count,duplicate_record_rate_pct,source_overlap_people,source_union_people,source_overlap_rate_pct,selection_personkey_sha256,phase1_output_sha256,truth_checksum_sha256,output_checksum_sha256,canonical_phase1_config_sha256,canonical_scenario_sha256,trial_artifacts_path,artifacts_removed,worker_wall_seconds,started_at_utc,completed_at_utc
scaling_baseline,main,,n50000_seed20260831_main,success,,,50000,70000,1.4,20260831,50000,50000,81590,11590,97580,50000,52535,2535,200.77742689987645,20.243600100046024,180.53382679983042,186.8726456000004,486.01081061100126,706113536,673.40234375,82807517,78.97140216827393,20373212,62428283,6.338818800169975,True,0,ok,2947,5348,25079,3096,5522,28469,29098,58.196000000000005,1.9516,2.0,0.32077630835209753,1.6318,1.0,1.3343570586615863,1446,1.4818610370977658,46145,49989,92.31030826781893,dbb3856a300556660a672e3ea6983de5eeecc8ec360100c9e18cc9c5583e6079,762781efa4a1892c525410e2992296686aaf52d9460f2add4fc2688910705ef8,b977feb02c32370c2eb841ecc29d595b2ec036fe44669f52784f266a0c87cb14,fcb5c0154b0db5d15b18553e0662aa2100d5cae158b0f47184a26076fa58e0ad,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n50000_seed20260831_main,True,210.9250934999436,2026-08-29T08:47:12+00:00,2026-08-29T08:50:42+00:00
scaling_baseline,repro,,n50000_seed20260829_repro,success,,,50000,70000,1.4,20260829,50000,50000,81226,11226,97531,50000,52468,2468,202.47911600000225,19.860928599955514,182.61818740004674,189.03479730011895,481.68424441362595,691982336,659.92578125,82645863,78.81723690032959,20271262,62368572,6.416609900072217,True,0,ok,2889,5279,25083,3055,5453,28462,29104,58.208000000000006,1.95062,2.0,0.321467907573991,1.62452,1.0,1.3268062291080789,1446,1.4826055305492614,46098,49987,92.21997719407045,dbb3856a300556660a672e3ea6983de5eeecc8ec360100c9e18cc9c5583e6079,8dcd8e9ba84b913bf98acd2fb9fd8c6d83cc4022a96c7b27422b339ada63bcf6,de2c6ec5d0573f9c4e0e0b22325f6ca92b0589cdcdb9759bd268b152f3aaef1c,50a82649c8dc8d2c6facd1d9c0c0d2e30c4eba0f1befd5dca864bd37ec629429,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n50000_seed20260829_repro,True,211.56652049999684,2026-08-29T08:50:43+00:00,2026-08-29T08:54:14+00:00
scaling_baseline,main,,n100000_seed20260829_main,success,,,100000,140000,1.4,20260829,100000,100000,162678,22678,195152,100000,104973,4973,444.60013730009086,67.17867789999582,377.42145940009505,390.5801219001878,438.9382360183093,1226018816,1169.22265625,165050755,157.40466594696045,40745551,124299173,13.15866250009276,True,0,ok,3871,6676,50046,4211,6998,56563,58365,58.365,1.95152,2.0,0.32073305037055355,1.62678,1.0,1.3295212791076343,2893,1.4824342051324098,92282,99977,92.30322974284086,82bfa99210c4f53bc46b7fce756266603db0c69c263bb42fbdf7f178b2325299,c58c712032017c1528e76e1f82d7756c857a490c960addf044106b564f404fa2,ddb43570720209f73067d305aee78f641dea944df851b490c890c763a4161b76,8d3ec302b816288642fb781ebf84f7b518632fff5feed5848c415c00aca6f70c,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n100000_seed20260829_main,True,464.0555942999199,2026-08-29T08:54:14+00:00,2026-08-29T09:01:58+00:00
scaling_baseline,main,,n100000_seed20260830_main,success,,,100000,140000,1.4,20260830,100000,100000,162693,22693,195127,100000,105079,5079,433.6394316002261,65.97332620015368,367.6661054000724,381.46525439992547,449.9752231478072,1256009728,1197.82421875,165158626,157.5075397491455,40755962,124396633,13.79914899985306,True,0,ok,3841,6730,50032,4169,7048,56433,58389,58.389,1.95127,2.0,0.3206795707556063,1.62693,1.0,1.3310705372368514,2892,1.482111650361047,92259,99976,92.28114747539409,82bfa99210c4f53bc46b7fce756266603db0c69c263bb42fbdf7f178b2325299,d3118d137563bcb29424f7f6ec635bdcd37e767e56140c84e869b03e9e83742a,2e8e1c2ce11b4e7c09b349eb12af9fcebcbaeb656707dc2f6993dcf324d38f13,d1c88af370cf7e50d8bc4288df1655f4a444b1feaf03fc12dfae5170e9e69c16,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n100000_seed20260830_main,True,453.7416999998968,2026-08-29T09:01:58+00:00,2026-08-29T09:09:32+00:00
scaling_baseline,main,,n100000_seed20260831_main,success,,,100000,140000,1.4,20260831,100000,100000,162748,22748,195154,100000,105041,5041,471.6740055999253,72.16300919977948,399.5109964001458,412.65643340023234,413.747625866688,1234849792,1177.64453125,165092514,157.44449043273926,40751395,124335088,13.145437000086531,True,0,ok,3913,6666,50010,4227,6998,56392,58440,58.440000000000005,1.95154,2.0,0.32042413829173355,1.62748,1.0,1.333067458758183,2893,1.4824190126771677,92284,99977,92.30523020294667,82bfa99210c4f53bc46b7fce756266603db0c69c263bb42fbdf7f178b2325299,96b5eb9f52330b12b2bb6924cc6df76d5d56b107cbc0500e7495f5f12c1b1059,d47a76d0d99ffedf24fa7f9e049ec33b7f950216757f2fe6b02d65887312c8a6,a970d99b0cfa53b79b589b7b6f767268324777f584c5e804c12e5dab8a07722e,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n100000_seed20260831_main,True,488.2461088998243,2026-08-29T09:09:32+00:00,2026-08-29T09:17:40+00:00
scaling_baseline,repro,,n100000_seed20260829_repro,success,,,100000,140000,1.4,20260829,100000,100000,162678,22678,195152,100000,104973,4973,447.1419649000745,66.8548603001982,380.28710459987633,394.00951169990003,436.44304341600275,1229078528,1172.140625,165050788,157.4046974182129,40745553,124299197,13.722407100023702,True,0,ok,3871,6676,50046,4211,6998,56563,58365,58.365,1.95152,2.0,0.32073305037055344,1.62678,1.0,1.3295212791076343,2893,1.4824342051324098,92282,99977,92.30322974284086,82bfa99210c4f53bc46b7fce756266603db0c69c263bb42fbdf7f178b2325299,c58c712032017c1528e76e1f82d7756c857a490c960addf044106b564f404fa2,ddb43570720209f73067d305aee78f641dea944df851b490c890c763a4161b76,8d3ec302b816288642fb781ebf84f7b518632fff5feed5848c415c00aca6f70c,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n100000_seed20260829_repro,True,467.5770509999711,2026-08-29T09:17:41+00:00,2026-08-29T09:25:28+00:00
scaling_baseline,main,,n250000_seed20260829_main,success,,,250000,350000,1.4,20260829,250000,250000,406812,56812,487813,250000,262402,12402,1504.679423399968,518.6625955000054,986.0168278999627,1017.9442584998906,324.19729572545066,2574409728,2455.1484375,412069865,392.9804468154907,102533153,309530681,31.927430599927902,True,0,ok,5512,8526,124349,6293,9346,138798,147063,58.8252,1.951252,2.0,0.3213154719212877,1.627248,1.0,1.3317987635134674,7231,1.4823303192001853,230642,249940,92.27894694726734,d1f81bf554667bbb5bc4fc4280e2ed59962750161c069843be493b6a1ad4c4c1,23db5cb6a57b701da1a8e71d8129055eb9e8b966736196789330249b58ddc86e,dfdbd3e69eb86f49223973ecdee9ebb7b1ad54133de3f912896e708a648ac377,220f9c40e4303a657ee240bf49b22984ba1bd7bed78b4a205c70390408bd8119,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n250000_seed20260829_main,True,1545.345385099994,2026-08-29T09:25:28+00:00,2026-08-29T09:51:13+00:00
scaling_baseline,main,,n250000_seed20260830_main,success,,,250000,350000,1.4,20260830,250000,250000,406652,56652,487853,250000,262739,12739,1509.5858933997806,528.4594757999294,981.1264175998513,1012.8330928999931,323.1700840164137,2517532672,2400.90625,412012097,392.92535495758057,102448119,309557947,31.706675300141796,True,0,ok,5516,8565,124405,6300,9401,138781,146991,58.796400000000006,1.951412,2.0,0.3207167071669326,1.626608,1.0,1.3326253840956204,7231,1.4822087801038428,230681,249941,92.29418142681672,d1f81bf554667bbb5bc4fc4280e2ed59962750161c069843be493b6a1ad4c4c1,458c412d5b0325584753dfbb95a504e6d8459e37fee693771d3f22f79045b1ef,0a69f9ba287ce58c96001e8e4dc958f48f966c15a591c5aebac7340ae52f0c71,a9a9e6ebcece59e943373b52ba35dec913d659411e1c2d1c96050c84bbfd4aa6,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n250000_seed20260830_main,True,1546.4783375000115,2026-08-29T09:51:14+00:00,2026-08-29T10:17:00+00:00
scaling_baseline,main,,n250000_seed20260831_main,success,,,250000,350000,1.4,20260831,250000,250000,406348,56348,487857,250000,262531,12531,1696.2394552999176,598.6095835999586,1097.629871699959,1133.5912059000693,287.6109257308488,2125127680,2026.6796875,411904924,392.82314682006836,102355139,309543754,35.96133420011029,True,0,ok,5611,8607,124315,6386,9433,138673,147069,58.827600000000004,1.951428,2.0,0.3207814845280194,1.625392,1.0,1.332770365192744,7231,1.482196627290374,230685,249941,92.29578180450586,d1f81bf554667bbb5bc4fc4280e2ed59962750161c069843be493b6a1ad4c4c1,9f3ade54298094d3ec6aa388bbbbbbbd901159a7fbc24a3b7c7d6b19b8863171,bca1fdd9c11440203cdb37fcb4e4109d3ae07a269afe6a5e45dab77fa806caf5,5a096d4d21156bb30d845ec7629e6db4b466c64617d3ce610fb880b77bab1ab2,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n250000_seed20260831_main,True,1742.9779956000857,2026-08-30T05:51:52+00:00,2026-08-30T06:20:55+00:00
scaling_baseline,repro,,n250000_seed20260829_repro,success,,,250000,350000,1.4,20260829,250000,250000,406812,56812,487808,250000,262402,12402,1559.2878309998196,561.3548328999896,997.93299809983,1028.8597206999548,312.8402532887185,2527526912,2410.4375,412072690,392.98314094543457,102533155,309533497,30.926722600124776,True,0,ok,5512,8526,124349,6282,9358,138783,147063,58.8252,1.951232,2.0,0.3213062124765094,1.627248,1.0,1.3317987635134674,7231,1.4823455129887169,230637,249940,92.27694646715211,d1f81bf554667bbb5bc4fc4280e2ed59962750161c069843be493b6a1ad4c4c1,568b7061dc812f17ecc42a25c43b195536fb3143b8f3e35edaaa87f6b2c52d8d,020aa2d74c62dbcb61251fc3da3f28219e092ed8f994cc81aaafcd15508d7ba0,b18ce76e17d0303dc2a0ae905994ed57b2d8496d575a03464501a11de5706cb0,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n250000_seed20260829_repro,True,1595.6206141000148,2026-08-30T07:07:15+00:00,2026-08-30T07:33:50+00:00
scaling_baseline,main,,n500000_seed20260829_main,success,,,500000,700000,1.4,20260829,500000,500000,813670,113670,975604,500000,524809,24809,4423.762860999908,2244.0128921000287,2179.7499688998796,2243.7141928998753,220.53713787440293,4389031936,4185.70703125,823426413,785.2806215286255,205246945,618173437,63.96422399999574,True,0,ok,7111,9899,246767,8717,11494,272507,296737,59.34739999999999,1.951208,2.0,0.3211344589669567,1.62734,1.0,1.3318470349105411,14461,1.4822612453413475,461264,499879,92.27513058160075,240567dc687ef5d610174387af676a807b9f6eef832602c329c453a46927d45b,5dacf9531007c5e2283cf3bd31547662063be5c262169c2fa90531d20b089759,b65140e156e80390f150b6695e05e6ccc59221068356fb7a1cdb72f15ff7764a,cabbcba1a7e7c81e88b5559370d3b67777b16589b8058a1c40b675bef6a9db37,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n500000_seed20260829_main,True,4505.7348621999845,2026-08-30T07:33:50+00:00,2026-08-30T08:48:56+00:00
scaling_baseline,main,,n500000_seed20260830_main,success,,,500000,700000,1.4,20260830,500000,500000,813847,113847,975687,500000,525316,25316,4365.0288468000945,2194.8954926000442,2170.1333542000502,2232.784536899999,223.52360871916218,3837329408,3659.5625,823255717,785.1178331375122,205294333,617955353,62.65118269994855,True,0,ok,7106,9929,246729,8712,11531,272403,296801,59.3602,1.951374,2.0,0.32097587467596383,1.627694,1.0,1.3352191739051682,14462,1.4822376438345493,461343,499882,92.29038052980503,240567dc687ef5d610174387af676a807b9f6eef832602c329c453a46927d45b,4ad3c0efe9336ecd52ad7356d22ab234e92142617e2372055a4ddecbd536709b,9ef2b8311de038867243e14472ad094c805b2d2fa45cd790512837b222e9f96c,0e9aee7dd0cd9561c2da1e4964354fedf033f51a8acf36de339d8696d2849ec2,2ab8648fa0a02dbeeedf8600871b38f97898761aba37845459b00ecf21afee87,047e824ca590e65a926b86f011551327e3533f625fbf91919e3a1859bd27572f,experiments/scaling_artifacts/n500000_seed20260830_main,True,4447.175981800072,2026-08-30T08:48:57+00:00,2026-08-30T10:03:03+00:00
